instance lad vbdpd vbbjdpd vbbjdpdnosup vbbjdpdnocad tvbbjdpd vf2 snd
si4_b09_m400.09 723.889000 202 215 12 202 229 0 2333.000
si4_b06m_m400.06 19.996000 74 76 7 91 68 1 1286.000
si4_b06m_m400.03 22.996000 45 45 6 43 46 0 1742.000
si4_b06m_m400.01 20.996000 139 140 7 140 141 0 1508.000
si4_b06m_m400.08 23.996000 108 78 6 77 80 0 1645.000
si4_b06m_m400.05 35.994000 137 107 10 123 106 0 1396.000
si4_b06m_m400.07 33.994000 52 54 11 83 55 0 1337.000
si4_b06m_m400.00 34.994000 73 72 8 71 73 0 1223.000
si4_b06m_m400.04 34.994000 50 50 7 49 49 0 1343.000
si4_b06m_m400.09 21.996000 64 64 6 65 61 0 1198.000
si4_b06m_m400.02 20.996000 83 111 6 83 80 0 1378.000
si2_m4Dr2_m625.05 75.988000 347 217 17 217 204 0 1366.000
si2_m4Dr2_m625.00 224.965000 131 136 615 124 120 0 2916.000
si2_m4Dr2_m625.08 21.996000 162 103 14 99 96 0 1328.000
si2_m4Dr2_m625.09 101.984000 110 109 9 110 105 0 1337.000
si2_m4Dr2_m625.06 231.964000 158 117 91 149 113 0 1588.000
si2_m4Dr2_m625.04 475.927000 69 68 15 69 68 0 1367.000
si2_m4Dr2_m625.01 114.982000 170 191 23 166 158 0 1629.000
si2_m4Dr2_m625.03 241.963000 65 68 530 61 60 0 1499.000
si2_m4Dr2_m625.02 171.973000 117 162 43 123 112 0 2062.000
si2_m4Dr2_m625.07 121.981000 58 57 10 56 57 0 1802.000
si2_r005_m200.02 6013.085000 42 43 11 41 38 100000000 1455.000
si2_r005_m200.01 216589.073000 246 322 197 127 108 100000000 3715.000
si2_r005_m200.03 4472.320000 75 69 57 50 39 100000000 6440.00
si2_r005_m200.05 14597.780000 12009 12778 3715 6403 945 100000000 264129.000
si2_r005_m200.08 48967.555000 1572 1572 2873 757 84 100000000 572601.000
si2_r005_m200.04 11467.256000 6366 6543 10642 3627 474 100000000 27950.00
si2_r005_m200.09 195.970000 73 106 299 54 33 100000000 1257.000
si2_r005_m200.06 110.983000 148 168 248 110 47 100000000 1345.000
si2_r005_m200.00 34375.774000 764 734 438 471 63 100000000 198887.000
si2_r005_m200.07 6054.079000 70 70 392 53 41 100000000 2202.000
si4_b03m_m400.03 11.998000 26 26 9 25 26 0 1337.000
si4_b03m_m400.09 17.997000 29 42 10 29 29 0 1152.000
si4_b03m_m400.08 15.997000 45 43 13 27 30 0 1456.000
si4_b03m_m400.04 13.997000 28 28 6 41 28 0 1182.000
si4_b03m_m400.00 19.996000 43 45 8 39 29 0 1185.000
si4_b03m_m400.01 19.996000 43 42 9 40 40 0 1165.000
si4_b03m_m400.07 9.998000 33 48 5 31 31 0 1188.000
si4_b03m_m400.02 19.996000 39 41 13 55 38 0 1234.000
si4_b03m_m400.06 11.998000 39 39 10 39 39 0 1056.000
si4_b03m_m400.05 17.997000 28 44 8 27 28 0 1109.000
si2_r01_m600.01 100000000 325502 331982 208754 216415 31007 100000000 100000000
si2_r01_m600.06 100000000 197811 202663 121033 131661 23790 100000000 100000000
si2_r01_m600.09 100000000 721653 737980 456930 508367 61080 100000000 100000000
si2_r01_m600.08 100000000 1216367 1245494 783742 783018 94210 100000000 100000000
si2_r01_m600.04 100000000 1425768 1455349 935338 945900 116948 100000000 100000000
si2_r01_m600.02 100000000 4092723 4182917 2690501 2564022 308329 100000000 100000000
si2_r01_m600.00 100000000 25507478 26074160 16922583 16329639 1868854 100000000 99925740.00
si2_r01_m600.07 100000000 419319 428607 275448 257982 40033 100000000 100000000
si2_r01_m600.03 100000000 2603529 2664784 1707938 1704625 213171 100000000 100000000
si2_r01_m600.05 100000000 238297 243769 147735 165854 26108 100000000 35266048.000
si4_m4Dr6_m256.01 19.996000 23 24 3 29 24 0 1156.000
si4_m4Dr6_m256.00 96.985000 53 54 9 58 52 0 1160.00
si4_m4Dr6_m256.05 149.977000 35 30 18 44 31 0 951.000
si4_m4Dr6_m256.08 78.987000 38 27 48 29 28 0 893.000
si4_m4Dr6_m256.03 11.998000 48 65 7 49 46 0 1019.000
si4_m4Dr6_m256.06 83.987000 56 57 7 60 54 0 854.000
si4_m4Dr6_m256.09 63.990000 27 28 3 28 28 0 899.000
si4_m4Dr6_m256.07 388.940000 41 47 61 47 31 0 868.000
si4_m4Dr6_m256.02 23.996000 74 62 5 51 46 0 1188.000
si4_m4Dr6_m256.04 144.977000 45 45 45 44 30 0 1012.000
si2_b03m_m400.02 9.998000 21 35 5 35 22 0 796.000
si2_b03m_m400.00 8.998000 33 37 8 34 34 0 1084.000
si2_b03m_m400.01 5.999000 24 28 5 24 25 0 808.000
si2_b03m_m400.05 6.998000 36 36 3 45 36 0 862.000
si2_b03m_m400.08 7.998000 29 29 4 29 29 0 782.000
si2_b03m_m400.07 13.997000 20 20 5 28 21 0 1038.000
si2_b03m_m400.09 10.998000 28 28 6 31 28 0 899.000
si2_b03m_m400.03 5.999000 25 25 4 26 26 0 788.000
si2_b03m_m400.04 10.998000 30 43 3 30 31 0 905.000
si2_b03m_m400.06 8.998000 23 24 3 23 24 0 894.000
si2_b03m_m200.05 1.999000 19 12 1 12 13 0 520.00
si2_b03m_m200.03 2.999000 9 6 1 7 6 0 600.0
si2_b03m_m200.00 3.999000 8 8 1 8 10 0 641.000
si2_b03m_m200.08 2.999000 9 10 1 10 7 0 483.000
si2_b03m_m200.06 1.999000 6 10 1 6 9 0 694.000
si2_b03m_m200.02 3.999000 10 6 0 6 8 0 666.000
si2_b03m_m200.09 2.999000 9 9 1 7 7 0 673.000
si2_b03m_m200.04 2.999000 11 12 1 9 10 0 506.000
si2_b03m_m200.01 2.999000 12 10 1 10 11 0 601.000
si2_b03m_m200.07 1.999000 4 4 0 4 6 0 478.000
si4_r001_m200.04 35.994000 9 9 49 13 11 100000000 712.000
si4_r001_m200.07 38.994000 17 18 9 18 19 100000000 880.00
si4_r001_m200.00 20.996000 10 10 20 10 10 100000000 961.000
si4_r001_m200.01 30.995000 10 10 2 11 10 278962 800.0
si4_r001_m200.03 30.995000 9 11 5688 9 11 100000000 730.00
si4_r001_m200.06 28.995000 22 19 5 20 21 100000000 688.000
si4_r001_m200.05 39.993000 13 12 3 10 12 100000000 766.000
si4_r001_m200.08 36.994000 10 10 6 10 11 100000000 888.000
si4_r001_m200.09 155.976000 12 12 1556 10 11 100000000 955.000
si4_r001_m200.02 30.995000 17 17 145 17 12 100000000 684.000
si2_m4D_m256.08 25.996000 27 29 9 35 26 0 957.000
si2_m4D_m256.03 61.990000 17 25 2 16 18 0 803.000
si2_m4D_m256.02 20.996000 23 22 8 21 22 0 865.000
si2_m4D_m256.06 34.994000 20 17 1 17 19 0 799.000
si2_m4D_m256.04 9.998000 15 19 4 17 17 0 928.000
si2_m4D_m256.07 29.995000 29 21 3 26 21 0 706.000
si2_m4D_m256.01 33.994000 24 25 2 25 18 0 848.000
si2_m4D_m256.09 36.994000 36 23 2 23 25 0 706.000
si2_m4D_m256.00 19.996000 42 43 2 42 42 0 660.00
si2_m4D_m256.05 34.994000 16 18 2 17 18 0 706.000
si6_r01_m400.04 686100.696000 20858 21282 14000 36229 5122 100000000 4158059.000
si6_r01_m400.08 79271.948000 6262 6328 1481 8356 4262 100000000 361811.000
si6_r01_m400.07 1148807.354000 13664 13761 6339 27598 6429 100000000 622219.000
si6_r01_m400.06 755671.120000 12709 12920 5925 36365 5352 100000000 546353.000
si6_r01_m400.05 4248429.140000 52087 52833 35228 70930 11072 100000000 3580996.000
si6_r01_m400.02 8845164.330000 15352 15532 8165 20137 7696 100000000 959319.000
si6_r01_m400.00 487403.903000 15013 15174 7907 13505 5378 100000000 888816.000
si6_r01_m400.03 1695386.262000 8822 8910 3299 28757 4295 100000000 2937341.000
si6_r01_m400.01 3643813.056000 13740 13849 6897 29704 4960 100000000 2071414.000
si6_r01_m400.09 10809847.653000 28145 28562 17265 39869 5917 100000000 2235567.000
si2_m4Dr4_m625.07 489.925000 147 145 16 144 145 0 1361.000
si2_m4Dr4_m625.02 36.994000 66 65 15 65 65 1 1412.000
si2_m4Dr4_m625.03 27.995000 228 204 15 201 192 0 1537.000
si2_m4Dr4_m625.00 45.993000 111 110 9 109 106 0 1546.000
si2_m4Dr4_m625.05 24.996000 121 120 15 176 115 0 1365.000
si2_m4Dr4_m625.06 466.929000 135 132 569 132 128 0 1602.000
si2_m4Dr4_m625.09 683.896000 84 80 241084 78 79 0 7006.000
si2_m4Dr4_m625.01 384.941000 77 76 25 75 75 0 1390.00
si2_m4Dr4_m625.08 737.887000 79 78 242 77 77 0 1546.000
si2_m4Dr4_m625.04 2242.659000 93 82 14 79 78 0 1813.000
si4_r01_m400.01 38564845.252000 3027 3035 120 3262 2714 100000000 59287585.000
si4_r01_m400.08 32857113.959000 61575 62465 41573 51135 7133 100000000 48860781.000
si4_r01_m400.02 8638625.729000 219520 223332 155961 136470 43149 100000000 50054021.000
si4_r01_m400.03 100000000 25869 26376 16681 16577 4498 100000000 16362866.000
si4_r01_m400.07 20878261.021000 52205 52715 35343 37118 5702 100000000 30225271.000
si4_r01_m400.06 15709266.828000 5872 5925 2751 7146 2998 100000000 43302453.000
si4_r01_m400.04 100000000 198012 201284 141148 111960 32672 100000000 58593454.000
si4_r01_m400.00 100000000 344259 349335 248270 203543 30929 100000000 568355.000
si4_r01_m400.05 53265973.341000 13297 13512 7285 14851 3461 100000000 52942516.000
si4_r01_m400.09 8961636.624000 42067 42822 28423 26027 5858 100000000 41820604.000
si2_b09m_m400.09 15.997000 77 78 6 96 73 0 1119.000
si2_b09m_m400.03 234.964000 66 66 4 66 66 0 1003.000
si2_b09m_m400.01 29.995000 52 52 3 52 51 0 972.000
si2_b09m_m400.08 38.994000 55 55 4 55 54 0 942.000
si2_b09m_m400.05 134.979000 65 66 7 65 62 0 1381.000
si2_b09m_m400.06 27.995000 51 50 3 51 48 0 1168.000
si2_b09m_m400.00 18.997000 57 59 4 57 55 0 1006.000
si2_b09m_m400.02 14.997000 47 53 6 53 46 0 953.000
si2_b09m_m400.04 18.997000 51 51 3 50 50 0 923.000
si2_b09m_m400.07 27.995000 53 53 4 53 52 0 1204.000
si2_b09_m800.07 2488.621000 404 403 27 402 416 0 2492.000
si2_b09_m800.04 2645.597000 404 404 27 403 417 0 2227.000
si2_b09_m800.05 2525.616000 407 403 27 403 439 0 2048.000
si2_b09_m800.00 2617.602000 405 404 34 428 451 0 2154.000
si2_b09_m800.02 2878.562000 404 403 28 401 448 0 2449.000
si2_b09_m800.01 2618.601000 411 476 36 407 432 0 2205.000
si2_b09_m800.08 2477.623000 405 404 27 403 420 0 2035.000
si2_b09_m800.09 2555.611000 416 405 28 404 443 0 2190.00
si2_b09_m800.03 2910.557000 403 405 27 405 444 0 3148.000
si2_b09_m800.06 2568.609000 404 403 27 402 432 0 2102.000
si6_b03_m400.04 373.943000 53 54 11 53 104 0 1837.000
si6_b03_m400.09 499.924000 56 60 10 54 100 0 1660.00
si6_b03_m400.02 363.944000 56 54 16 53 103 0 1721.000
si6_b03_m400.06 381.941000 62 63 16 53 98 0 1574.000
si6_b03_m400.05 686.895000 54 54 10 53 101 0 1762.000
si6_b03_m400.08 363.944000 56 57 11 53 102 0 2332.000
si6_b03_m400.01 707.892000 54 56 10 52 103 0 1695.000
si6_b03_m400.07 360.945000 54 54 11 54 103 0 1705.000
si6_b03_m400.03 379.942000 55 54 10 53 105 0 2391.000
si6_b03_m400.00 455.930000 83 60 10 53 103 0 1831.000
si2_r005_m600.03 100000000 25307 25061 17450 18959 3514 100000000 5348069.000
si2_r005_m600.00 100000000 478069 472606 265547 283526 38710 100000000 37994733.000
si2_r005_m600.06 100000000 31431 31592 22938 19695 4360 100000000 14077074.000
si2_r005_m600.01 100000000 122752 119855 86180 73550 10265 100000000 5183664.000
si2_r005_m600.04 100000000 308483 299135 223279 180433 28899 100000000 3443641.000
si2_r005_m600.09 4494516.729000 33291 34019 22680 23691 4673 100000000 2711602.000
si2_r005_m600.05 100000000 1464829 1452407 160850 895348 99936 100000000 23414418.000
si2_r005_m600.02 100000000 340345 337038 208163 209707 25026 100000000 12501586.000
si2_r005_m600.08 100000000 73904 73800 640980 45049 3477 100000000 468468.000
si2_r005_m600.07 100000000 10598 10790 13980 7777 2722 100000000 7930375.000
si4_r01_m600.05 100000000 61172 62298 29793 89027 16050 100000000 100000000
si4_r01_m600.02 54735630.919000 63081 64315 32408 59205 16116 100000000 100000000
si4_r01_m600.03 100000000 234643 239710 145178 206136 32545 100000000 100000000
si4_r01_m600.07 100000000 472866 481802 297899 406126 44930 100000000 43530508.000
si4_r01_m600.08 100000000 380952 387197 243484 310729 39065 100000000 100000000
si4_r01_m600.06 100000000 162945 165848 98986 136854 24026 100000000 51210222.000
si4_r01_m600.01 100000000 1050695 1076392 690629 720438 89629 100000000 100000000
si4_r01_m600.04 89810232.769000 336849 343388 216752 311082 35058 100000000 100000000
si4_r01_m600.00 100000000 735086 750431 483534 713551 66510 100000000 100000000
si4_r01_m600.09 100000000 244504 247343 150730 425148 28939 100000000 100000000
si2_b09_m400.04 334.949000 102 107 6 102 100 0 991.000
si2_b09_m400.08 349.946000 102 103 6 101 103 0 1123.000
si2_b09_m400.05 349.946000 103 102 6 102 104 0 1065.000
si2_b09_m400.01 346.947000 103 104 8 102 106 0 1354.000
si2_b09_m400.03 613.906000 102 103 9 104 107 0 1052.000
si2_b09_m400.02 637.903000 103 103 7 109 107 0 1238.000
si2_b09_m400.07 355.945000 103 121 10 116 102 0 972.000
si2_b09_m400.09 338.948000 102 102 6 102 104 0 948.000
si2_b09_m400.06 340.948000 103 104 6 102 108 0 1018.000
si2_b09_m400.00 668.898000 102 102 6 102 109 0 1026.000
si4_b06_m200.06 71.989000 43 29 3 41 30 0 709.000
si4_b06_m200.03 70.989000 28 30 4 27 30 0 737.000
si4_b06_m200.02 73.988000 27 27 2 27 30 0 727.000
si4_b06_m200.07 72.988000 42 27 4 31 31 0 830.00
si4_b06_m200.05 72.988000 30 29 3 28 29 0 720.00
si4_b06_m200.08 132.979000 27 27 3 28 29 0 786.000
si4_b06_m200.00 108.983000 27 27 2 29 30 0 798.000
si4_b06_m200.04 75.988000 27 28 2 29 29 0 773.000
si4_b06_m200.01 71.989000 32 28 3 27 29 0 781.000
si4_b06_m200.09 136.979000 31 28 2 33 30 0 897.000
si4_r005_m400.06 70620.264000 3489 3553 1168 2749 1149 100000000 23820.00
si4_r005_m400.03 124423.084000 1606 1610 3948 2173 994 100000000 34025.000
si4_r005_m400.07 127690.588000 4056 4082 3632 2839 1176 100000000 196729.000
si4_r005_m400.01 239957.520000 1462 1466 467 1482 1004 100000000 178240.00
si4_r005_m400.04 1277791.746000 1719 1731 728 1511 1006 100000000 80368.000
si4_r005_m400.00 2496118.532000 1762 1770 728 1517 1034 100000000 131451.000
si4_r005_m400.09 548989.540000 2122 1972 866 1671 1040 100000000 101069.000
si4_r005_m400.05 130111.220000 1501 1501 527 1687 989 100000000 96058.000
si4_r005_m400.08 2451669.289000 1200 1202 145 1172 970 100000000 192584.000
si4_r005_m400.02 714530.374000 4119 3904 3118 3236 1091 100000000 237094.000
si4_m4Dr2_m1296.07 198.969000 2060 2067 129 2046 1949 5 13795.000
si4_m4Dr2_m1296.00 196.970000 826 827 130 808 785 5 13172.000
si4_m4Dr2_m1296.05 251.961000 873 899 93 891 812 5 12207.000
si4_m4Dr2_m1296.04 205.968000 450 448 92 430 426 5 13960.00
si4_m4Dr2_m1296.08 3300.498000 1054 1057 336 1029 992 5 13553.000
si4_m4Dr2_m1296.01 332.949000 1137 1148 130 1123 1071 5 12453.000
si4_m4Dr2_m1296.06 206.968000 795 778 92 755 736 5 13984.000
si4_m4Dr2_m1296.02 221.966000 1083 721 94 709 677 5 13621.000
si4_m4Dr2_m1296.03 4049.384000 611 604 878 595 567 4 14482.000
si4_m4Dr2_m1296.09 494.924000 981 982 138 989 931 5 12797.000
si6_b09_m800.03 8576.696000 1197 1194 86 1186 1254 2 11483.000
si6_b09_m800.09 9516.553000 1196 1196 86 1186 1266 1 11314.000
si6_b09_m800.07 8192.754000 1195 1193 86 1184 1262 1 13662.000
si6_b09_m800.05 8550.700000 1201 1196 86 1189 1260 1 13157.000
si6_b09_m800.04 9434.565000 1202 1195 136 1185 1243 1 11488.000
si6_b09_m800.01 8667.682000 1221 1842 135 1731 1335 1 12301.000
si6_b09_m800.00 9448.563000 1196 1197 86 1187 1247 1 12593.000
si6_b09_m800.02 7571.848000 1196 1194 86 1184 1269 1 17800.0
si6_b09_m800.06 8630.687000 1196 1298 87 1245 1325 1 12853.000
si6_b09_m800.08 8145.761000 1200 1197 141 1251 1239 1 12009.000
si6_b06m_m400.00 32.994000 254 259 15 253 243 1 2282.000
si6_b06m_m400.08 28.995000 159 155 11 151 142 1 2386.000
si6_b06m_m400.03 55.991000 127 127 11 127 121 1 2540.00
si6_b06m_m400.04 32.994000 280 282 10 280 262 1 2043.000
si6_b06m_m400.06 33.994000 193 197 17 184 164 1 1922.000
si6_b06m_m400.07 49.992000 61 61 12 58 59 1 2201.000
si6_b06m_m400.09 52.991000 153 154 11 153 144 1 2210.00
si6_b06m_m400.02 51.992000 66 67 13 65 65 1 2422.000
si6_b06m_m400.01 36.994000 54 54 10 52 54 1 1908.000
si6_b06m_m400.05 53.991000 64 64 11 62 61 1 2211.000
si2_m4Dr4_m1296.08 1309.800000 300 304 52 295 286 2 5416.000
si2_m4Dr4_m1296.07 304.953000 444 308 42 434 262 4 5701.000
si2_m4Dr4_m1296.03 3610.451000 315 319 217 327 300 2 6403.000
si2_m4Dr4_m1296.05 109.983000 671 670 40 665 627 2 4912.000
si2_m4Dr4_m1296.06 176.973000 552 479 53 492 452 2 4865.000
si2_m4Dr4_m1296.04 179.972000 691 687 73 567 530 2 5171.000
si2_m4Dr4_m1296.09 1099.832000 271 272 54 261 255 2 6924.000
si2_m4Dr4_m1296.01 1184.819000 541 541 67 536 511 4 5051.000
si2_m4Dr4_m1296.00 515.921000 497 496 84 523 469 2 5148.000
si2_m4Dr4_m1296.02 2348.642000 283 289 148 279 272 2 7010.00
si6_m4Dr6_m1296.02 2302.649000 1133 1137 194 1092 1064 11 31624.000
si6_m4Dr6_m1296.08 372.943000 1075 1080 174 1034 1025 11 34341.000
si6_m4Dr6_m1296.07 482.926000 1076 1081 176 1035 1025 10 36723.000
si6_m4Dr6_m1296.06 376.942000 976 980 174 937 927 13 36280.00
si6_m4Dr6_m1296.03 669.898000 1141 1138 264 1097 1081 13 32229.000
si6_m4Dr6_m1296.04 764.883000 1135 1137 176 1074 1040 11 34923.000
si6_m4Dr6_m1296.05 1038.842000 2166 2170 177 2127 2056 11 38560.00
si6_m4Dr6_m1296.00 374.943000 1685 1076 220 1684 998 11 35411.000
si6_m4Dr6_m1296.09 369.943000 994 969 173 923 919 10 39631.000
si6_m4Dr6_m1296.01 431.934000 1746 1751 174 1711 1658 11 35209.000
si4_m4Dr2_m256.00 30.995000 44 38 9 37 37 0 878.000
si4_m4Dr2_m256.01 10.998000 48 41 2 43 41 0 977.000
si4_m4Dr2_m256.05 15.997000 80 81 2 80 77 0 842.000
si4_m4Dr2_m256.04 26.995000 72 70 5 70 67 0 1146.000
si4_m4Dr2_m256.08 10.998000 67 57 4 58 55 0 936.000
si4_m4Dr2_m256.07 44.993000 29 29 4 20 22 0 820.00
si4_m4Dr2_m256.06 27.995000 55 52 4 51 35 0 872.000
si4_m4Dr2_m256.02 12.998000 32 33 4 31 33 0 949.000
si4_m4Dr2_m256.09 24.996000 115 117 6 116 111 0 907.000
si4_m4Dr2_m256.03 39.993000 33 39 5 34 34 0 801.000
si4_b09m_m200.01 8.998000 33 31 3 32 30 0 849.000
si4_b09m_m200.00 9.998000 33 33 3 33 33 0 1067.000
si4_b09m_m200.03 45.993000 66 67 3 66 63 0 807.000
si4_b09m_m200.06 80.987000 52 53 3 53 35 0 864.000
si4_b09m_m200.02 13.997000 56 54 2 78 52 0 737.000
si4_b09m_m200.04 18.997000 59 60 2 61 58 0 1160.00
si4_b09m_m200.05 12.998000 44 44 3 44 29 0 1182.000
si4_b09m_m200.07 15.997000 59 56 2 62 54 0 955.000
si4_b09m_m200.08 12.998000 25 26 3 29 26 0 759.000
si4_b09m_m200.09 10.998000 59 62 3 61 57 0 1017.000
si4_m4Dr4_m625.07 310.952000 142 140 21 135 135 2 2542.000
si4_m4Dr4_m625.05 50.992000 210 210 20 207 199 2 2738.000
si4_m4Dr4_m625.01 60.990000 212 219 28 211 192 2 2517.000
si4_m4Dr4_m625.08 421.935000 134 134 21 132 129 1 2355.000
si4_m4Dr4_m625.09 158.975000 232 229 20 226 220 1 2855.000
si4_m4Dr4_m625.00 1372.791000 148 146 118 144 141 1 2497.000
si4_m4Dr4_m625.04 82.987000 227 224 18 347 214 1 2488.000
si4_m4Dr4_m625.06 507.922000 136 149 20 128 126 1 2539.000
si4_m4Dr4_m625.03 170.974000 124 124 22 121 119 2 2316.000
si4_m4Dr4_m625.02 49.992000 291 291 43 281 176 1 2429.000
si4_m4Dr4_m1296.03 658.899000 975 954 93 934 903 6 14712.000
si4_m4Dr4_m1296.01 1896.711000 555 557 101 538 532 6 12843.000
si4_m4Dr4_m1296.00 225.965000 948 959 151 930 898 10 13363.000
si4_m4Dr4_m1296.07 376.942000 1047 1063 95 1039 904 5 14626.000
si4_m4Dr4_m1296.02 225.965000 815 817 93 807 772 6 12517.000
si4_m4Dr4_m1296.04 396.939000 547 547 95 528 519 6 12587.000
si4_m4Dr4_m1296.09 375.942000 1032 1083 96 1015 979 6 14219.000
si4_m4Dr4_m1296.06 5092.225000 598 605 218 581 571 6 12795.000
si4_m4Dr4_m1296.08 375.942000 1631 1638 150 1617 1531 6 13228.000
si4_m4Dr4_m1296.05 3130.524000 622 622 164 615 593 5 13754.000
si2_r005_m400.05 100000000 4459 4506 4825 2586 875 100000000 25025.000
si2_r005_m400.06 11827874.889000 2428 2423 1457 1528 693 100000000 978947.000
si2_r005_m400.08 140262.676000 2899 2883 3031 1736 666 100000000 111734.000
si2_r005_m400.02 713995.456000 391193 388342 74097 198071 27223 100000000 5855275.000
si2_r005_m400.03 67483421.960000 6740 6386 1173 3574 830 100000000 787663.000
si2_r005_m400.00 7889372.633000 1675 1563 1355 1072 620 100000000 1923927.000
si2_r005_m400.07 89634207.529000 13960 14194 1627 7012 1081 100000000 2469762.000
si2_r005_m400.09 50220808.276000 634 633 146 574 472 100000000 27868.000
si2_r005_m400.04 1105825.888000 8457 8604 10261 4283 1310 100000000 385313.000
si2_r005_m400.01 8443404.407000 790 818 237 792 460 100000000 129591.000
si2_b06m_m400.03 9.998000 66 64 3 64 62 0 906.000
si2_b06m_m400.06 14.997000 63 63 3 64 61 0 824.000
si2_b06m_m400.05 33.994000 59 58 4 58 57 0 886.000
si2_b06m_m400.01 11.998000 47 46 5 47 45 0 1022.000
si2_b06m_m400.00 12.998000 67 81 4 67 64 0 827.000
si2_b06m_m400.08 14.997000 129 128 4 129 121 0 1001.000
si2_b06m_m400.07 13.997000 85 87 4 85 80 0 1344.000
si2_b06m_m400.09 18.997000 58 58 3 58 56 0 1151.000
si2_b06m_m400.04 57.991000 55 55 3 56 54 0 825.000
si2_b06m_m400.02 11.998000 33 41 6 33 32 0 896.000
si6_r005_m600.02 563631.315000 10750 10798 1988 13538 7922 100000000 129994.000
si6_r005_m600.08 1125412.911000 10705 11179 1766 10713 7923 100000000 227838.000
si6_r005_m600.03 583854.240000 25635 26101 13075 22818 9198 100000000 136181.000
si6_r005_m600.05 259392.566000 19388 20537 8915 22969 8613 100000000 118218.000
si6_r005_m600.07 2130236.154000 18804 19645 6932 17689 8547 100000000 283535.000
si6_r005_m600.04 2078879.962000 22235 22759 10047 29324 8881 100000000 155659.000
si6_r005_m600.06 6291050.614000 37603 38033 21004 40939 9834 100000000 78789.000
si6_r005_m600.01 94710.601000 10747 10659 1556 14130 7837 100000000 31224.000
si6_r005_m600.09 149579.260000 25803 26072 13179 32099 9102 100000000 54226.000
si6_r005_m600.00 430948.485000 10730 10748 1756 11421 7902 100000000 90302.000
si6_r005_m200.02 4792.271000 228 224 44 209 191 100000000 1542.000
si6_r005_m200.08 6676.984000 209 214 53 231 193 100000000 1288.000
si6_r005_m200.09 1768.731000 201 207 10 206 194 100000000 1704.000
si6_r005_m200.05 1917.708000 217 222 241 224 192 100000000 2132.000
si6_r005_m200.03 3669.442000 205 207 16 206 192 100000000 1392.000
si6_r005_m200.00 11793.207000 204 237 278 207 190 100000000 1563.000
si6_r005_m200.04 857.869000 209 215 75 214 195 100000000 1442.000
si6_r005_m200.07 1864.716000 202 207 24 203 188 100000000 1961.000
si6_r005_m200.01 499.924000 311 202 8 202 189 100000000 1447.000
si6_r005_m200.06 376.942000 195 199 6 199 186 100000000 1330.00
si2_m4Dr6_m625.06 171.973000 98 68 10 76 68 1 1955.000
si2_m4Dr6_m625.08 220.966000 161 137 14 136 131 0 1307.000
si2_m4Dr6_m625.07 265.959000 80 79 10 80 78 1 1602.000
si2_m4Dr6_m625.03 198.969000 74 74 10 72 72 0 1589.000
si2_m4Dr6_m625.04 102.984000 71 71 9 70 69 1 1620.00
si2_m4Dr6_m625.05 296.954000 76 74 15 74 73 0 1206.000
si2_m4Dr6_m625.09 192.970000 168 154 83 161 142 0 1637.000
si2_m4Dr6_m625.01 148.977000 77 75 18 77 73 0 1208.000
si2_m4Dr6_m625.02 355.945000 81 80 19 81 79 1 1524.000
si2_m4Dr6_m625.00 25.996000 116 114 9 113 108 0 1471.000
si6_b03_m800.02 3215.511000 221 232 53 220 330 0 7494.000
si6_b03_m800.04 3036.538000 221 230 66 276 335 1 7572.000
si6_b03_m800.03 2655.596000 221 226 53 216 344 0 7371.000
si6_b03_m800.05 2636.599000 221 225 52 216 348 1 7445.000
si6_b03_m800.06 4771.274000 221 227 54 217 325 0 7875.000
si6_b03_m800.01 5240.203000 221 226 53 221 322 0 10339.000
si6_b03_m800.00 2821.571000 321 327 74 241 339 0 7940.00
si6_b03_m800.07 2631.599000 221 228 53 218 340 1 7998.000
si6_b03_m800.09 2636.599000 222 231 53 228 335 0 7971.000
si6_b03_m800.08 2648.597000 222 228 57 217 348 0 8002.000
si4_m4D_m1296.09 1729.737000 1063 1055 195 1042 1030 2 17343.000
si4_m4D_m1296.06 1792.727000 726 727 124 708 705 2 21616.000
si4_m4D_m1296.05 1993.696000 759 760 144 740 738 2 18223.000
si4_m4D_m1296.00 6980.938000 534 533 151 503 542 100000000 116410.00
si4_m4D_m1296.03 6611.994000 554 556 199 546 652 100000000 171714.000
si4_m4D_m1296.04 2422.631000 750 751 126 733 750 2 19833.000
si4_m4D_m1296.08 6585.998000 100000000 100000000 100000000 100000000 539 100000000 82410.00
si4_m4D_m1296.02 6637.990000 622 723 295 585 610 100000000 98574.000
si4_m4D_m1296.01 1420.784000 758 758 132 740 757 2 18778.000
si4_m4D_m1296.07 1355.793000 738 738 124 1216 724 2 17916.000
si6_b03m_m400.03 31.995000 62 70 21 59 58 0 1557.000
si6_b03m_m400.01 18.997000 77 84 9 81 74 0 1525.000
si6_b03m_m400.09 30.995000 76 77 9 92 67 0 1663.000
si6_b03m_m400.08 24.996000 75 106 9 73 72 1 1804.000
si6_b03m_m400.07 22.996000 56 58 10 55 55 0 1528.000
si6_b03m_m400.02 26.995000 41 39 14 38 39 1 1785.000
si6_b03m_m400.05 16.997000 36 37 9 35 37 1 1675.000
si6_b03m_m400.00 21.996000 41 41 11 41 39 1 1540.00
si6_b03m_m400.06 27.995000 138 140 21 140 110 0 1558.000
si6_b03m_m400.04 20.996000 55 90 13 53 53 0 1565.000
