instance lad vbdpd vbbjdpd vbbjdpdnosup vbbjdpdnocad tvbbjdpd vf2 snd
si6_r005_m400.02 16066.557000 2362 2354 248 2501 1970 100000000 9608.000
si6_r005_m400.04 6654.988000 2729 2385 454 2544 1985 100000000 29176.000
si6_r005_m400.05 343026.851000 4018 4054 2660 3706 2073 100000000 92587.000
si6_r005_m400.09 8066.773000 2186 2113 56 2112 1947 100000000 8297.000
si6_r005_m400.03 550706.279000 2845 2866 730 3320 2124 100000000 39876.000
si6_r005_m400.06 6288.044000 2405 2280 154 2310 1967 100000000 7898.000
si6_r005_m400.08 119685.804000 2966 2981 908 3040 2029 100000000 51823.000
si6_m4Dr6_m625.04 85.986000 228 308 34 219 218 2 4870.00
si6_m4Dr6_m625.01 130.980000 457 528 53 499 322 2 5340.00
si6_m4Dr6_m625.09 94.985000 436 572 35 561 412 2 4997.000
si6_m4Dr6_m625.07 80.987000 401 395 53 392 372 4 4824.000
si6_m4Dr6_m625.00 82.987000 210 209 34 202 202 2 5387.000
si6_m4Dr6_m625.08 375.942000 243 241 37 235 233 2 4512.000
si6_m4Dr6_m625.05 80.987000 407 403 52 411 384 2 4955.000
si6_m4Dr6_m625.06 74.988000 208 208 34 232 200 4 4878.000
si6_m4Dr6_m625.02 84.987000 249 243 35 263 231 2 4898.000
si6_m4Dr6_m625.03 78.987000 345 341 48 334 324 3 5506.000
si4_m4Dr2_m625.09 190.970000 236 234 24 311 222 1 2960.00
si4_m4Dr2_m625.04 394.939000 136 182 35 207 132 2 2576.000
si4_m4Dr2_m625.02 43.993000 190 249 29 193 176 1 2300.0
si4_m4Dr2_m625.07 44.993000 180 179 18 175 172 1 2506.000
si4_m4Dr2_m625.00 117.982000 227 198 19 192 188 1 2635.000
si4_m4Dr2_m625.08 145.977000 227 218 20 223 208 1 2856.000
si4_m4Dr2_m625.01 135.979000 240 217 19 209 202 2 2719.000
si4_m4Dr2_m625.06 52.991000 311 304 28 190 184 1 2777.000
si4_m4Dr2_m625.03 391.940000 242 240 32 271 230 1 2657.000
si4_m4Dr2_m625.05 154.976000 260 245 20 245 234 1 2616.000
si2_r001_m600.00 9501.555000 178 179 100000000 219 159 100000000 11731.000
si2_r001_m600.06 20565.873000 583 583 100000000 358 155 100000000 13234.000
si2_r001_m600.04 3395.483000 263 327 10504 225 175 100000000 4359.000
si2_r001_m600.07 115212.485000 1290 914 100000000 560 213 100000000 11778.000
si2_r001_m600.02 291724.651000 192 189 100000000 181 169 100000000 24611.000
si2_r001_m600.08 35231.643000 384 385 100000000 261 175 100000000 432073.000
si2_r001_m600.03 45619301.811000 217 225 100000000 186 150 100000000 46320.00
si2_r001_m600.01 38436.156000 210 175 100000000 172 157 100000000 11945.000
si2_r001_m600.05 35371.622000 272 178 100000000 260 168 100000000 17740.00
si2_r001_m600.09 147831.526000 448 415 100000000 294 171 100000000 56235.000
si2_m4Dr2_m256.09 38.994000 15 17 14 15 17 0 784.000
si2_m4Dr2_m256.03 42.993000 15 18 8 15 16 0 1681.000
si2_m4Dr2_m256.04 84.987000 29 30 116 39 31 0 718.000
si2_m4Dr2_m256.07 8.998000 17 11 1 18 13 0 796.000
si2_m4Dr2_m256.00 42.993000 14 14 17 16 15 0 825.000
si2_m4Dr2_m256.06 83.987000 19 17 251 16 16 0 999.000
si2_m4Dr2_m256.08 6.998000 25 21 2 21 22 0 655.000
si2_m4Dr2_m256.05 19.996000 31 31 2 50 31 0 762.000
si2_m4Dr2_m256.01 34.994000 20 13 48 13 15 0 659.000
si2_m4Dr2_m256.02 20.996000 11 11 17 18 13 0 671.000
si6_r001_m600.09 2539.613000 1090 1087 47 1105 1034 100000000 5933.000
si6_r001_m600.00 28248.705000 1143 1118 3155 1119 1059 100000000 6189.000
si6_r001_m600.07 10217.446000 1152 1216 82 1261 1068 100000000 6132.000
si6_r001_m600.03 31602.195000 1161 1219 76 1443 1096 100000000 5703.000
si6_r001_m600.01 3477.471000 1211 1215 3600 1177 1102 100000000 6537.000
si6_r001_m600.06 2484.622000 1120 1111 204 1104 1046 100000000 6371.000
si6_r001_m600.08 6583.999000 1281 1171 1451 1202 1104 100000000 9716.000
si6_r001_m600.02 30458.369000 1164 1169 635 1166 1095 100000000 5655.000
si6_r001_m600.04 4266.351000 1109 1105 11499 1120 1041 100000000 6154.000
si6_r001_m600.05 2947.551000 1299 1165 70 1160 1103 100000000 5779.000
si2_m4Dr2_m1296.05 748.886000 453 586 43 468 429 1 5120.00
si2_m4Dr2_m1296.09 740.887000 265 268 48 261 254 3 5682.000
si2_m4Dr2_m1296.02 2258.656000 504 507 6113 505 478 2 6495.000
si2_m4Dr2_m1296.07 563.914000 490 460 43 497 435 1 5017.000
si2_m4Dr2_m1296.00 102.984000 608 608 63 603 572 1 4748.000
si2_m4Dr2_m1296.06 2883.561000 280 272 2117 268 259 2 5667.000
si2_m4Dr2_m1296.08 1170.822000 273 276 54 293 260 1 5462.000
si2_m4Dr2_m1296.01 2317.647000 592 590 124277 589 559 1 16073.000
si2_m4Dr2_m1296.03 1228.813000 398 254 47 284 241 1 5052.000
si2_m4Dr2_m1296.04 148.977000 474 388 41 383 373 3 4868.000
si4_b06m_m800.08 79.987000 460 478 45 454 412 2 4082.000
si4_b06m_m800.00 136.979000 469 372 31 367 352 2 4404.000
si4_b06m_m800.06 85.986000 424 500 48 420 372 2 3986.000
si4_b06m_m800.05 80.987000 558 555 31 550 523 2 5056.000
si4_b06m_m800.04 117.982000 279 275 34 275 260 2 4393.000
si4_b06m_m800.09 97.985000 273 275 31 268 258 2 4002.000
si4_b06m_m800.01 89.986000 508 449 32 443 422 2 3979.000
si4_b06m_m800.07 81.987000 389 373 32 344 328 2 4128.000
si4_b06m_m800.03 88.986000 499 498 35 491 467 2 5288.000
si4_b06m_m800.02 84.987000 302 329 40 307 285 2 4509.000
si6_m4Dr2_m625.08 296.954000 195 193 35 188 185 2 5009.000
si6_m4Dr2_m625.09 324.950000 193 193 34 184 184 2 4801.000
si6_m4Dr2_m625.05 533.918000 205 197 47 197 185 3 4847.000
si6_m4Dr2_m625.01 61.990000 337 336 32 326 318 2 5026.000
si6_m4Dr2_m625.06 74.988000 420 351 37 309 292 2 5359.000
si6_m4Dr2_m625.00 69.989000 280 317 32 255 248 3 5223.000
si6_m4Dr2_m625.03 67.989000 321 291 47 288 283 3 5977.000
si6_m4Dr2_m625.02 470.928000 197 195 44 190 187 3 4721.000
si6_m4Dr2_m625.07 70.989000 305 350 45 366 291 2 4911.000
si6_m4Dr2_m625.04 378.942000 371 379 43 363 351 2 4552.000
si2_m4D_m1296.01 4052.383000 427 403 74 405 401 0 39393.000
si2_m4D_m1296.08 668.898000 762 908 80 795 729 1 6021.000
si2_m4D_m1296.06 3214.511000 654 621 467 549 390 0 491764.000
si2_m4D_m1296.05 777.881000 415 417 84 446 452 1 6611.000
si2_m4D_m1296.09 1515.769000 637 642 75 631 654 1 6811.000
si2_m4D_m1296.03 2704.588000 481 430 74 443 403 0 13359.000
si2_m4D_m1296.07 906.862000 423 447 62 456 411 1 6755.000
si2_m4D_m1296.02 1261.808000 943 936 65 1038 915 1 8299.000
si2_m4D_m1296.04 1179.820000 731 703 85 710 693 1 6912.000
si2_m4D_m1296.00 573.912000 551 550 150 543 526 1 6367.000
si4_b03_m800.05 1706.740000 154 166 49 175 208 0 3940.00
si4_b03_m800.00 1773.730000 147 168 31 175 227 0 3653.000
si4_b03_m800.08 1746.734000 150 167 40 157 226 0 3804.000
si4_b03_m800.09 1804.725000 149 201 33 151 220 0 4182.000
si4_b03_m800.03 2289.651000 149 154 31 184 224 0 3510.00
si4_b03_m800.02 1874.715000 147 150 32 153 216 0 4143.000
si4_b03_m800.04 1726.737000 167 155 31 146 215 0 4186.000
si4_b03_m800.01 2043.689000 167 207 52 150 224 0 3904.000
si4_b03_m800.06 2342.643000 153 224 51 148 225 0 3768.000
si4_b03_m800.07 1774.730000 147 150 31 146 221 0 3558.000
si6_m4D_m1296.02 2930.554000 654 799 204 565 628 12 82757.000
si6_m4D_m1296.07 10964.333000 822 853 339 808 858 100000000 186673.000
si6_m4D_m1296.05 2897.559000 633 609 142 614 629 8 87031.000
si6_m4D_m1296.09 9519.552000 923 867 256 825 891 100000000 226735.000
si6_m4D_m1296.00 281012.279000 772038 803598 1238633 574713 916 100000000 226934.000
si6_m4D_m1296.08 3157.519000 619 746 144 569 597 12 85758.000
si6_m4D_m1296.04 2848.566000 585 587 164 558 591 3 87387.000
si6_m4D_m1296.06 11498.252000 1903 1847 2047 1395 958 100000000 213081.000
si6_m4D_m1296.01 10626.384000 1219 1321 616 1338 957 100000000 228441.000
si6_m4D_m1296.03 17675.312000 7458 6841 18051 4547 1267 100000000 324863.000
si6_r001_m200.05 42.993000 23 23 46 22 16 52017982 948.000
si6_r001_m200.09 39.993000 15 16 5 17 17 5417538 856.000
si6_r001_m200.07 4.999000 13 14 3 15 15 100000000 1003.000
si6_r001_m200.02 28.995000 23 16 4 16 17 841834 1093.000
si6_r001_m200.01 17.997000 14 14 2 14 15 31480496 912.000
si6_r001_m200.00 11.998000 22 14 2 13 15 100000000 1037.000
si6_r001_m200.04 22.996000 24 23 4 22 16 15796040 987.000
si6_r001_m200.06 10.998000 14 14 2 14 16 100000000 938.000
si6_r001_m200.08 6.998000 27 26 3 41 26 72211413 821.000
si6_r001_m200.03 31.995000 15 16 4 14 16 100000000 896.000
si4_b06_m400.06 474.927000 107 170 9 107 131 0 1255.000
si4_b06_m400.07 532.918000 107 109 9 107 134 0 1399.000
si4_b06_m400.09 479.927000 107 108 9 108 133 0 1404.000
si4_b06_m400.01 503.923000 111 146 15 115 135 0 1306.000
si4_b06_m400.04 478.927000 120 113 11 108 133 0 1754.000
si4_b06_m400.03 480.926000 108 109 9 114 133 0 1357.000
si4_b06_m400.00 694.894000 113 108 14 127 134 0 1255.000
si4_b06_m400.05 646.901000 110 127 15 109 134 0 1317.000
si4_b06_m400.08 486.925000 110 109 9 108 130 0 1505.000
si4_b06_m400.02 520.920000 108 138 11 110 128 0 1238.000
si2_m4Dr6_m256.06 24.996000 15 15 8 15 17 0 812.000
si2_m4Dr6_m256.05 26.995000 23 23 1 14 15 0 904.000
si2_m4Dr6_m256.09 40.993000 42 41 85 30 29 0 660.00
si2_m4Dr6_m256.00 23.996000 28 29 11 29 29 0 1070.00
si2_m4Dr6_m256.07 17.997000 21 16 1 15 16 0 647.000
si2_m4Dr6_m256.04 38.994000 27 26 5 27 28 0 688.000
si2_m4Dr6_m256.02 34.994000 18 23 13 17 18 0 819.000
si2_m4Dr6_m256.01 18.997000 14 21 7 17 15 0 748.000
si2_m4Dr6_m256.08 50.992000 27 40 35 27 30 0 755.000
si2_m4Dr6_m256.03 29.995000 21 15 6 16 16 0 794.000
si6_r01_m200.04 1357.793000 614 470 83 655 353 100000000 2520.00
