instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad
si6-r001-m200.07 1 7 200 121 121
si6-r001-m200.02 1 7 200 123 123
si6-r001-m200.01 1 7 200 121 121
si6-r001-m200.00 1 7 200 121 121
si6-r001-m200.04 1 7 200 123 122
si6-r001-m200.06 1 7 200 121 121
si6-r001-m200.08 1 7 200 121 121
si6-r001-m200.03 1 7 200 121 121
si4-b06-m400.06 1 3 400 161 161
si4-b06-m400.07 1 3 400 161 161
si4-b06-m400.09 1 3 400 161 161
si4-b06-m400.01 1 3 400 161 161
si4-b06-m400.04 1 3 400 161 161
si4-b06-m400.03 1 3 400 161 161
si4-b06-m400.00 1 3 400 161 161
si4-b06-m400.05 1 3 400 161 161
si4-b06-m400.08 1 3 400 161 161
si4-b06-m400.02 1 3 400 161 161
si2-m4Dr6-m256.06 1 6 256 62 62
si2-m4Dr6-m256.05 1 6 256 52 52
si2-m4Dr6-m256.09 1 6 256 53 53
si2-m4Dr6-m256.00 1 6 256 72 70
si2-m4Dr6-m256.07 1 6 256 52 52
si2-m4Dr6-m256.04 1 6 256 52 52
si2-m4Dr6-m256.02 1 6 256 62 62
si2-m4Dr6-m256.01 1 6 256 52 52
si2-m4Dr6-m256.08 1 6 256 130 114
si2-m4Dr6-m256.03 1 6 256 52 52
si6-r01-m200.04 1 7 200 939 884
si6-r01-m200.08 1 7 200 317 301
si6-r01-m200.02 1 7 200 1050 843
si6-r01-m200.09 1 7 200 21718 19379
si6-r01-m200.07 1 7 200 627 581
si6-r01-m200.00 1 7 200 6107 4225
si6-r01-m200.01 1 7 200 28146 23674
si6-r01-m200.03 1 7 200 2510 1795
si6-r01-m200.05 1 7 200 42222 37409
si6-r01-m200.06 1 7 200 9286 6593
si2-b03m-m800.03 1 4 800 161 161
si2-b03m-m800.02 1 4 800 161 161
si2-b03m-m800.09 1 4 800 161 161
si2-b03m-m800.04 1 4 800 161 161
si2-b03m-m800.06 1 4 800 161 161
si2-b03m-m800.05 1 4 800 161 161
si2-b03m-m800.01 1 4 800 161 161
si2-b03m-m800.08 1 4 800 161 161
si2-b03m-m800.07 1 4 800 161 161
si2-b03m-m800.00 1 4 800 161 161
si2-r001-m200.06 1 7 200 41 41
si2-r001-m200.01 1 7 200 52 50
si2-r001-m200.02 1 7 200 342 340
si2-r001-m200.07 1 7 200 42 42
