instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad
si2-m4Dr4-m1296.04 1 6 1296 260 260
si2-m4Dr4-m1296.09 1 6 1296 260 260
si2-m4Dr4-m1296.01 1 6 1296 261 261
si2-m4Dr4-m1296.00 1 6 1296 260 260
si2-m4Dr4-m1296.02 1 6 1296 263 263
si6-m4Dr6-m1296.02 1 6 1296 778 778
si6-m4Dr6-m1296.08 1 6 1296 778 778
si6-m4Dr6-m1296.07 1 6 1296 778 778
si6-m4Dr6-m1296.06 1 6 1296 778 778
si6-m4Dr6-m1296.03 1 6 1296 778 778
si6-m4Dr6-m1296.04 1 6 1296 778 778
si6-m4Dr6-m1296.05 1 6 1296 778 778
si6-m4Dr6-m1296.00 1 6 1296 778 778
si6-m4Dr6-m1296.09 1 6 1296 778 778
si6-m4Dr6-m1296.01 1 6 1296 778 778
si4-m4Dr2-m256.00 1 6 256 106 105
si4-m4Dr2-m256.01 1 6 256 103 103
si4-m4Dr2-m256.05 1 6 256 103 103
si4-m4Dr2-m256.04 1 6 256 103 103
si4-m4Dr2-m256.08 1 6 256 103 103
si4-m4Dr2-m256.07 1 6 256 103 103
si4-m4Dr2-m256.06 1 6 256 103 103
si4-m4Dr2-m256.02 1 6 256 103 103
si4-m4Dr2-m256.09 1 6 256 104 104
si4-m4Dr2-m256.03 1 6 256 103 103
si4-b09m-m200.01 1 4 200 81 81
si4-b09m-m200.00 1 4 200 81 81
si4-b09m-m200.03 1 4 200 81 81
si4-b09m-m200.06 1 4 200 81 81
si4-b09m-m200.02 1 4 200 81 81
si4-b09m-m200.04 1 4 200 81 81
si4-b09m-m200.05 1 4 200 81 81
si4-b09m-m200.07 1 4 200 81 81
si4-b09m-m200.08 1 4 200 81 81
si4-b09m-m200.09 1 4 200 81 81
si4-m4Dr4-m625.07 1 6 625 251 251
si4-m4Dr4-m625.05 1 6 625 251 251
si4-m4Dr4-m625.01 1 6 625 251 251
si4-m4Dr4-m625.08 1 6 625 251 251
si4-m4Dr4-m625.09 1 6 625 251 251
si4-m4Dr4-m625.00 1 6 625 251 251
si4-m4Dr4-m625.04 1 6 625 251 251
si4-m4Dr4-m625.06 1 6 625 251 251
si4-m4Dr4-m625.03 1 6 625 251 251
si4-m4Dr4-m625.02 1 6 625 251 251
si4-m4Dr4-m1296.03 1 6 1296 519 519
si4-m4Dr4-m1296.01 1 6 1296 519 519
si4-m4Dr4-m1296.00 1 6 1296 519 519
si4-m4Dr4-m1296.07 1 6 1296 519 519
si4-m4Dr4-m1296.02 1 6 1296 519 519
si4-m4Dr4-m1296.04 1 6 1296 519 519
si4-m4Dr4-m1296.09 1 6 1296 519 519
si4-m4Dr4-m1296.06 1 6 1296 520 520
si4-m4Dr4-m1296.08 1 6 1296 519 519
si4-m4Dr4-m1296.05 1 6 1296 519 519
si2-r005-m400.05 1 7 400 330312 329638
si2-r005-m400.06 1 7 400 154361 153597
si2-r005-m400.08 1 7 400 194745 193401
si2-r005-m400.02 1 7 400 33708162 100000000
si2-r005-m400.03 1 7 400 497641 494868
si2-r005-m400.00 1 7 400 82796 80948
si2-r005-m400.07 1 7 400 1182260 1177678
si2-r005-m400.09 1 7 400 10974 10532
si2-r005-m400.04 1 7 400 679787 675849
si2-r005-m400.01 1 7 400 22207 22083
si2-b06m-m400.03 1 4 400 81 81
si2-b06m-m400.06 1 4 400 81 81
si2-b06m-m400.05 1 4 400 81 81
si2-b06m-m400.01 1 4 400 81 81
si2-b06m-m400.00 1 4 400 81 81
si2-b06m-m400.08 1 4 400 81 81
si2-b06m-m400.07 1 4 400 81 81
si2-b06m-m400.09 1 4 400 81 81
si2-b06m-m400.04 1 4 400 81 81
si2-b06m-m400.02 1 4 400 81 81
si6-r005-m600.02 1 7 600 14016 10064
si6-r005-m600.08 1 7 600 14982 11969
si6-r005-m600.03 1 7 600 119376 102086
si6-r005-m600.05 1 7 600 61410 48521
si6-r005-m600.07 1 7 600 58146 47578
si6-r005-m600.04 1 7 600 56064 49402
si6-r005-m600.06 1 7 600 155248 113202
si6-r005-m600.01 1 7 600 3720 3019
si6-r005-m600.09 1 7 600 86272 60238
si6-r005-m600.00 1 7 600 9185 5416
si6-r005-m200.02 1 7 200 728 668
si6-r005-m200.08 1 7 200 586 530
si6-r005-m200.09 1 7 200 169 166
si6-r005-m200.05 1 7 200 850 767
si6-r005-m200.03 1 7 200 267 252
si6-r005-m200.00 1 7 200 326 308
si6-r005-m200.04 1 7 200 294 268
si6-r005-m200.07 1 7 200 400 355
si6-r005-m200.01 1 7 200 157 151
si6-r005-m200.06 1 7 200 121 121
si2-m4Dr6-m625.06 1 6 625 126 126
si2-m4Dr6-m625.08 1 6 625 126 126
si2-m4Dr6-m625.07 1 6 625 126 126
si2-m4Dr6-m625.03 1 6 625 126 126
si2-m4Dr6-m625.04 1 6 625 128 128
si2-m4Dr6-m625.05 1 6 625 126 126
si2-m4Dr6-m625.09 1 6 625 129 127
si2-m4Dr6-m625.01 1 6 625 127 127
si2-m4Dr6-m625.02 1 6 625 130 126
si2-m4Dr6-m625.00 1 6 625 126 126
si6-b03-m800.02 1 3 800 481 481
si6-b03-m800.04 1 3 800 481 481
si6-b03-m800.03 1 3 800 481 481
si6-b03-m800.05 1 3 800 481 481
si6-b03-m800.06 1 3 800 481 481
si6-b03-m800.01 1 3 800 481 481
si6-b03-m800.00 1 3 800 481 481
si6-b03-m800.07 1 3 800 481 481
si6-b03-m800.09 1 3 800 481 481
si6-b03-m800.08 1 3 800 481 481
si4-m4D-m1296.09 1 5 1296 519 519
si4-m4D-m1296.06 1 5 1296 519 519
si4-m4D-m1296.05 1 5 1296 519 519
si4-m4D-m1296.00 1 5 1296 757 742
si4-m4D-m1296.03 1 5 1296 1357 1262
si4-m4D-m1296.04 1 5 1296 519 519
si4-m4D-m1296.08 1 5 1296 100000000 100000000
si4-m4D-m1296.02 1 5 1296 1783 1459
si4-m4D-m1296.01 1 5 1296 519 519
si4-m4D-m1296.07 1 5 1296 519 519
si6-b03m-m400.03 1 4 400 241 241
si6-b03m-m400.01 1 4 400 241 241
si6-b03m-m400.09 1 4 400 241 241
si6-b03m-m400.08 1 4 400 241 241
si6-b03m-m400.07 1 4 400 241 241
si6-b03m-m400.02 1 4 400 241 241
si6-b03m-m400.05 1 4 400 241 241
si6-b03m-m400.00 1 4 400 241 241
si6-b03m-m400.06 1 4 400 241 241
si6-b03m-m400.04 1 4 400 241 241
si4-m4D-m256.07 1 5 256 103 103
si4-m4D-m256.06 1 5 256 103 103
si4-m4D-m256.05 1 5 256 103 103
si4-m4D-m256.08 1 5 256 119 114
si4-m4D-m256.04 1 5 256 103 103
si4-m4D-m256.09 1 5 256 147 135
si4-m4D-m256.02 1 5 256 103 103
si4-m4D-m256.00 1 5 256 130 119
si4-m4D-m256.03 1 5 256 104 103
si4-m4D-m256.01 1 5 256 103 103
si6-b06m-m800.07 1 4 800 481 481
si6-b06m-m800.04 1 4 800 481 481
si6-b06m-m800.01 1 4 800 481 481
si6-b06m-m800.00 1 4 800 481 481
si6-b06m-m800.05 1 4 800 481 481
si6-b06m-m800.08 1 4 800 481 481
si6-b06m-m800.09 1 4 800 481 481
si6-b06m-m800.02 1 4 800 481 481
si6-b06m-m800.03 1 4 800 481 481
si6-b06m-m800.06 1 4 800 481 481
si4-r001-m400.08 1 7 400 308 298
si4-r001-m400.06 1 7 400 162 161
si4-r001-m400.02 1 7 400 161 161
si4-r001-m400.00 1 7 400 994 990
si4-r001-m400.04 1 7 400 187 187
si4-r001-m400.03 1 7 400 164 164
si4-r001-m400.09 1 7 400 170 167
si4-r001-m400.05 1 7 400 3815 3743
si4-r001-m400.01 1 7 400 166 166
si4-r001-m400.07 1 7 400 170 170
si2-m4Dr6-m1296.00 1 6 1296 260 260
si2-m4Dr6-m1296.01 1 6 1296 260 260
si2-m4Dr6-m1296.09 1 6 1296 260 260
si2-m4Dr6-m1296.06 1 6 1296 260 260
si2-m4Dr6-m1296.03 1 6 1296 260 260
si2-m4Dr6-m1296.02 1 6 1296 260 260
si2-m4Dr6-m1296.05 1 6 1296 260 260
si2-m4Dr6-m1296.08 1 6 1296 260 260
si2-m4Dr6-m1296.04 1 6 1296 260 260
si2-m4Dr6-m1296.07 1 6 1296 262 262
si2-b03-m800.07 1 3 800 161 161
si2-b03-m800.08 1 3 800 161 161
si2-b03-m800.04 1 3 800 161 161
si2-b03-m800.05 1 3 800 161 161
si2-b03-m800.09 1 3 800 161 161
si2-b03-m800.00 1 3 800 161 161
si2-b03-m800.02 1 3 800 161 161
si2-b03-m800.03 1 3 800 161 161
si2-b03-m800.01 1 3 800 161 161
si2-b03-m800.06 1 3 800 161 161
si4-b03m-m200.05 1 4 200 81 81
si4-b03m-m200.02 1 4 200 81 81
si4-b03m-m200.04 1 4 200 81 81
si4-b03m-m200.07 1 4 200 81 81
si4-b03m-m200.00 1 4 200 81 81
si4-b03m-m200.06 1 4 200 81 81
si4-b03m-m200.03 1 4 200 81 81
si4-b03m-m200.09 1 4 200 81 81
si4-b03m-m200.08 1 4 200 81 81
si4-b03m-m200.01 1 4 200 81 81
si2-b06m-m200.04 1 4 200 41 41
si2-b06m-m200.03 1 4 200 41 41
si2-b06m-m200.08 1 4 200 41 41
si2-b06m-m200.06 1 4 200 41 41
si2-b06m-m200.05 1 4 200 41 41
si2-b06m-m200.02 1 4 200 41 41
si2-b06m-m200.00 1 4 200 41 41
si2-b06m-m200.01 1 4 200 41 41
si2-b06m-m200.09 1 4 200 41 41
si2-b06m-m200.07 1 4 200 41 41
si6-m4Dr4-m625.05 1 6 625 376 376
si6-m4Dr4-m625.09 1 6 625 376 376
si6-m4Dr4-m625.04 1 6 625 376 376
si6-m4Dr4-m625.00 1 6 625 376 376
si6-m4Dr4-m625.08 1 6 625 376 376
si6-m4Dr4-m625.06 1 6 625 376 376
si6-m4Dr4-m625.01 1 6 625 376 376
si6-m4Dr4-m625.03 1 6 625 376 376
si6-m4Dr4-m625.07 1 6 625 376 376
si6-m4Dr4-m625.02 1 6 625 376 376
si4-b03-m200.06 1 3 200 81 81
si4-b03-m200.02 1 3 200 81 81
si4-b03-m200.07 1 3 200 81 81
si4-b03-m200.04 1 3 200 81 81
si4-b03-m200.03 1 3 200 81 81
si4-b03-m200.05 1 3 200 81 81
si4-b03-m200.09 1 3 200 81 81
si4-b03-m200.01 1 3 200 81 81
si4-b03-m200.00 1 3 200 81 81
si4-b03-m200.08 1 3 200 81 81
si2-b03-m400.03 1 3 400 81 81
si2-b03-m400.06 1 3 400 81 81
si2-b03-m400.07 1 3 400 81 81
si2-b03-m400.01 1 3 400 81 81
si2-b03-m400.05 1 3 400 81 81
si2-b03-m400.09 1 3 400 81 81
si2-b03-m400.02 1 3 400 81 81
si2-b03-m400.00 1 3 400 81 81
si2-b03-m400.08 1 3 400 81 81
si2-b03-m400.04 1 3 400 81 81
si4-b09-m200.02 1 3 200 81 81
si4-b09-m200.01 1 3 200 81 81
si4-b09-m200.00 1 3 200 81 81
si4-b09-m200.09 1 3 200 81 81
si4-b09-m200.08 1 3 200 81 81
si4-b09-m200.04 1 3 200 81 81
si4-b09-m200.06 1 3 200 81 81
si4-b09-m200.05 1 3 200 81 81
si4-b09-m200.07 1 3 200 81 81
si4-b09-m200.03 1 3 200 81 81
si4-m4Dr4-m256.05 1 6 256 103 103
si4-m4Dr4-m256.09 1 6 256 103 103
si4-m4Dr4-m256.01 1 6 256 103 103
si4-m4Dr4-m256.03 1 6 256 104 104
si4-m4Dr4-m256.06 1 6 256 103 103
si4-m4Dr4-m256.07 1 6 256 103 103
si4-m4Dr4-m256.00 1 6 256 103 103
si4-m4Dr4-m256.02 1 6 256 103 103
si4-m4Dr4-m256.08 1 6 256 103 103
si4-m4Dr4-m256.04 1 6 256 106 105
si2-m4D-m625.01 1 5 625 995 976
si2-m4D-m625.00 1 5 625 130 134
si2-m4D-m625.08 1 5 625 134 142
si2-m4D-m625.04 1 5 625 164 159
si2-m4D-m625.09 1 5 625 15016 15560
si2-m4D-m625.02 1 5 625 126 126
si2-m4D-m625.05 1 5 625 6284 6010
si2-m4D-m625.06 1 5 625 5058 5485
si2-m4D-m625.07 1 5 625 426 412
si2-m4D-m625.03 1 5 625 314 312
si4-b09-m800.03 1 3 800 321 321
si4-b09-m800.02 1 3 800 321 321
si4-b09-m800.09 1 3 800 321 321
si4-b09-m800.06 1 3 800 321 321
si4-b09-m800.04 1 3 800 321 321
si4-b09-m800.05 1 3 800 321 321
si4-b09-m800.00 1 3 800 321 321
si4-b09-m800.01 1 3 800 321 321
si4-b09-m800.07 1 3 800 321 321
si4-b09-m800.08 1 3 800 321 321
si2-m4Dr4-m256.05 1 6 256 52 52
si2-m4Dr4-m256.02 1 6 256 52 52
si2-m4Dr4-m256.00 1 6 256 56 56
si2-m4Dr4-m256.07 1 6 256 54 54
si2-m4Dr4-m256.03 1 6 256 52 52
si2-m4Dr4-m256.06 1 6 256 52 52
si2-m4Dr4-m256.04 1 6 256 58 58
si2-m4Dr4-m256.09 1 6 256 52 52
si2-m4Dr4-m256.01 1 6 256 52 52
si2-m4Dr4-m256.08 1 6 256 116 103
si6-m4Dr2-m256.04 1 6 256 154 154
si6-m4Dr2-m256.08 1 6 256 154 154
si6-m4Dr2-m256.00 1 6 256 154 154
si6-m4Dr2-m256.07 1 6 256 154 154
si6-m4Dr2-m256.01 1 6 256 154 154
si6-m4Dr2-m256.09 1 6 256 154 154
si6-m4Dr2-m256.03 1 6 256 154 154
si6-m4Dr2-m256.05 1 6 256 154 154
si6-m4Dr2-m256.02 1 6 256 154 154
si6-m4Dr2-m256.06 1 6 256 154 154
si6-b06-m800.00 1 3 800 481 481
si6-b06-m800.05 1 3 800 481 481
si6-b06-m800.02 1 3 800 481 481
si6-b06-m800.07 1 3 800 481 481
si6-b06-m800.08 1 3 800 481 481
si6-b06-m800.09 1 3 800 481 481
si6-b06-m800.06 1 3 800 481 481
si6-b06-m800.01 1 3 800 481 481
si6-b06-m800.04 1 3 800 481 481
si6-b06-m800.03 1 3 800 481 481
si4-b09m-m800.06 1 4 800 321 321
si4-b09m-m800.01 1 4 800 321 321
si4-b09m-m800.02 1 4 800 321 321
si4-b09m-m800.08 1 4 800 321 321
si4-b09m-m800.04 1 4 800 321 321
si4-b09m-m800.03 1 4 800 321 321
si4-b09m-m800.09 1 4 800 321 321
si4-b09m-m800.05 1 4 800 321 321
si4-b09m-m800.00 1 4 800 321 321
si4-b09m-m800.07 1 4 800 321 321
si2-b06-m800.04 1 3 800 161 161
si2-b06-m800.07 1 3 800 161 161
si2-b06-m800.02 1 3 800 161 161
si2-b06-m800.00 1 3 800 161 161
si2-b06-m800.03 1 3 800 161 161
si2-b06-m800.05 1 3 800 161 161
si2-b06-m800.09 1 3 800 161 161
si2-b06-m800.01 1 3 800 161 161
si2-b06-m800.08 1 3 800 161 161
si2-b06-m800.06 1 3 800 161 161
si6-m4D-m256.03 1 5 256 154 154
si6-m4D-m256.08 1 5 256 154 154
si6-m4D-m256.07 1 5 256 154 154
si6-m4D-m256.00 1 5 256 154 154
si6-m4D-m256.01 1 5 256 154 154
si6-m4D-m256.05 1 5 256 154 154
si6-m4D-m256.09 1 5 256 227 213
si6-m4D-m256.04 1 5 256 154 154
si6-m4D-m256.02 1 5 256 154 154
si6-m4D-m256.06 1 5 256 154 154
si2-b06m-m800.07 1 4 800 161 161
si2-b06m-m800.02 1 4 800 161 161
si2-b06m-m800.03 1 4 800 161 161
si2-b06m-m800.01 1 4 800 161 161
si2-b06m-m800.08 1 4 800 161 161
si2-b06m-m800.04 1 4 800 161 161
si2-b06m-m800.06 1 4 800 161 161
si2-b06m-m800.09 1 4 800 161 161
si2-b06m-m800.05 1 4 800 161 161
si2-b06m-m800.00 1 4 800 161 161
si4-b06m-m200.00 1 4 200 81 81
si4-b06m-m200.08 1 4 200 81 81
si4-b06m-m200.05 1 4 200 81 81
si4-b06m-m200.09 1 4 200 81 81
si4-b06m-m200.01 1 4 200 81 81
si4-b06m-m200.07 1 4 200 81 81
si4-b06m-m200.02 1 4 200 81 81
si4-b06m-m200.04 1 4 200 81 81
si4-b06m-m200.06 1 4 200 81 81
si4-b06m-m200.03 1 4 200 81 81
si6-r001-m400.09 1 7 400 243 243
si6-r001-m400.05 1 7 400 241 241
si6-r001-m400.00 1 7 400 243 243
si6-r001-m400.04 1 7 400 243 243
si6-r001-m400.07 1 7 400 241 241
si6-r001-m400.06 1 7 400 248 245
si6-r001-m400.02 1 7 400 242 242
si6-r001-m400.03 1 7 400 241 241
si6-r001-m400.08 1 7 400 338 334
si6-r001-m400.01 1 7 400 247 245
si6-m4D-m625.00 1 5 625 376 376
si6-m4D-m625.07 1 5 625 1378 1325
si6-m4D-m625.05 1 5 625 419 417
si6-m4D-m625.08 1 5 625 376 376
si6-m4D-m625.02 1 5 625 376 376
si6-m4D-m625.03 1 5 625 48199 46402
si6-m4D-m625.04 1 5 625 376 376
si6-m4D-m625.09 1 5 625 775 791
si6-m4D-m625.01 1 5 625 376 376
si6-m4D-m625.06 1 5 625 430 415
si6-b09m-m800.02 1 4 800 481 481
si6-b09m-m800.09 1 4 800 481 481
si6-b09m-m800.04 1 4 800 481 481
si6-b09m-m800.07 1 4 800 481 481
si6-b09m-m800.00 1 4 800 481 481
si6-b09m-m800.05 1 4 800 481 481
si6-b09m-m800.03 1 4 800 481 481
si6-b09m-m800.01 1 4 800 481 481
si6-b09m-m800.06 1 4 800 481 481
si6-b09m-m800.08 1 4 800 481 481
si4-m4Dr6-m1296.01 1 6 1296 519 519
si4-m4Dr6-m1296.07 1 6 1296 519 519
si4-m4Dr6-m1296.06 1 6 1296 519 519
si4-m4Dr6-m1296.02 1 6 1296 519 519
si4-m4Dr6-m1296.08 1 6 1296 519 519
si4-m4Dr6-m1296.03 1 6 1296 519 519
si4-m4Dr6-m1296.00 1 6 1296 522 522
si4-m4Dr6-m1296.09 1 6 1296 519 519
si4-m4Dr6-m1296.05 1 6 1296 519 519
si4-m4Dr6-m1296.04 1 6 1296 519 519
si2-b06-m400.09 1 3 400 81 81
si2-b06-m400.02 1 3 400 81 81
si2-b06-m400.00 1 3 400 81 81
si2-b06-m400.03 1 3 400 81 81
si2-b06-m400.07 1 3 400 81 81
si2-b06-m400.04 1 3 400 81 81
si2-b06-m400.05 1 3 400 81 81
si2-b06-m400.01 1 3 400 81 81
si2-b06-m400.08 1 3 400 81 81
si2-b06-m400.06 1 3 400 81 81
si4-r01-m200.01 1 7 200 24295 22825
si4-r01-m200.08 1 7 200 972770 926648
si4-r01-m200.03 1 7 200 73354 70271
si4-r01-m200.04 1 7 200 54337 52301
si4-r01-m200.07 1 7 200 73283 64046
si4-r01-m200.02 1 7 200 151193 147078
si4-r01-m200.05 1 7 200 41550 40766
si4-r01-m200.06 1 7 200 22703 21593
si4-r01-m200.00 1 7 200 242339 233517
si4-r01-m200.09 1 7 200 70011 67648
si2-r001-m400.06 1 7 400 5162 5933
si2-r001-m400.08 1 7 400 203 201
si2-r001-m400.09 1 7 400 1268983 1324033
si2-r001-m400.01 1 7 400 387 383
si2-r001-m400.03 1 7 400 1379 1334
si2-r001-m400.04 1 7 400 945370 944990
si2-r001-m400.05 1 7 400 7804 7772
si2-r001-m400.02 1 7 400 430 427
si2-r001-m400.00 1 7 400 869 861
si2-r001-m400.07 1 7 400 1804 1762
si4-b03m-m800.03 1 4 800 321 321
si4-b03m-m800.05 1 4 800 321 321
si4-b03m-m800.06 1 4 800 321 321
si4-b03m-m800.01 1 4 800 321 321
si4-b03m-m800.08 1 4 800 321 321
si4-b03m-m800.09 1 4 800 321 321
si4-b03m-m800.00 1 4 800 321 321
si4-b03m-m800.02 1 4 800 321 321
si4-b03m-m800.07 1 4 800 321 321
si4-b03m-m800.04 1 4 800 321 321
si2-r01-m200.03 1 7 200 38221779 38117627
si2-r01-m200.00 1 7 200 394046 393939
si2-r01-m200.05 1 7 200 154038 153512
si2-r01-m200.01 1 7 200 1172938 1169984
si2-r01-m200.08 1 7 200 169 167
si2-r01-m200.06 1 7 200 6325052 6280730
si2-r01-m200.09 1 7 200 4966231 4959408
si2-r01-m200.02 1 7 200 326872 325060
si2-r01-m200.07 1 7 200 797190 794970
si2-r01-m200.04 1 7 200 72758 72607
si2-r01-m400.04 1 7 400 1386010 1377553
si2-r01-m400.00 1 7 400 3893542 3859845
si2-r01-m400.07 1 7 400 55199521 100000000
si2-r01-m400.09 1 7 400 9255453 100000000
si2-r01-m400.01 1 7 400 4480850 4463924
si2-r01-m400.03 1 7 400 134700 134291
si2-r01-m400.02 1 7 400 5471091 5434824
si2-r01-m400.05 1 7 400 13662016 100000000
si2-r01-m400.06 1 7 400 4016886 3967811
si2-r01-m400.08 1 7 400 1143198 1137404
si4-m4D-m625.09 1 5 625 251 251
si4-m4D-m625.03 1 5 625 251 251
si4-m4D-m625.07 1 5 625 680 619
si4-m4D-m625.02 1 5 625 7727 8786
si4-m4D-m625.00 1 5 625 251 251
si4-m4D-m625.01 1 5 625 2699 2464
si4-m4D-m625.04 1 5 625 251 251
si4-m4D-m625.06 1 5 625 251 251
si4-m4D-m625.08 1 5 625 225 216
si4-m4D-m625.05 1 5 625 251 251
si6-m4Dr6-m256.05 1 6 256 154 154
si6-m4Dr6-m256.04 1 6 256 154 154
si6-m4Dr6-m256.03 1 6 256 154 154
si6-m4Dr6-m256.02 1 6 256 154 154
si6-m4Dr6-m256.08 1 6 256 154 154
si6-m4Dr6-m256.00 1 6 256 154 154
si6-m4Dr6-m256.09 1 6 256 154 154
si6-m4Dr6-m256.07 1 6 256 154 154
si6-m4Dr6-m256.06 1 6 256 154 154
si6-m4Dr6-m256.01 1 6 256 154 154
si6-b09-m400.07 1 3 400 241 241
si6-b09-m400.03 1 3 400 241 241
si6-b09-m400.04 1 3 400 241 241
si6-b09-m400.06 1 3 400 241 241
si6-b09-m400.05 1 3 400 241 241
si6-b09-m400.09 1 3 400 241 241
si6-b09-m400.02 1 3 400 241 241
si6-b09-m400.01 1 3 400 241 241
si6-b09-m400.08 1 3 400 241 241
si6-b09-m400.00 1 3 400 241 241
si6-b06-m400.03 1 3 400 241 241
si6-b06-m400.08 1 3 400 241 241
si6-b06-m400.07 1 3 400 241 241
si6-b06-m400.04 1 3 400 241 241
si6-b06-m400.05 1 3 400 241 241
si6-b06-m400.06 1 3 400 241 241
si6-b06-m400.02 1 3 400 241 241
si6-b06-m400.01 1 3 400 241 241
si6-b06-m400.00 1 3 400 241 241
si6-b06-m400.09 1 3 400 241 241
si6-b03m-m200.04 1 4 200 121 121
si6-b03m-m200.07 1 4 200 121 121
si6-b03m-m200.08 1 4 200 121 121
si6-b03m-m200.02 1 4 200 121 121
si6-b03m-m200.03 1 4 200 121 121
si6-b03m-m200.06 1 4 200 121 121
si6-b03m-m200.01 1 4 200 121 121
si6-b03m-m200.09 1 4 200 121 121
si6-b03m-m200.00 1 4 200 121 121
si6-b03m-m200.05 1 4 200 121 121
si4-b06-m800.04 1 3 800 321 321
si4-b06-m800.00 1 3 800 321 321
si4-b06-m800.08 1 3 800 321 321
si4-b06-m800.05 1 3 800 321 321
si4-b06-m800.03 1 3 800 321 321
si4-b06-m800.06 1 3 800 321 321
si4-b06-m800.07 1 3 800 321 321
si4-b06-m800.01 1 3 800 321 321
si4-b06-m800.02 1 3 800 321 321
si4-b06-m800.09 1 3 800 321 321
si6-b09m-m200.07 1 4 200 121 121
si6-b09m-m200.06 1 4 200 121 121
si6-b09m-m200.01 1 4 200 121 121
si6-b09m-m200.08 1 4 200 121 121
si6-b09m-m200.00 1 4 200 121 121
si6-b09m-m200.09 1 4 200 121 121
si6-b09m-m200.02 1 4 200 121 121
si6-b09m-m200.05 1 4 200 121 121
si6-b09m-m200.03 1 4 200 121 121
si6-b09m-m200.04 1 4 200 121 121
si4-b09m-m400.07 1 4 400 161 161
si4-b09m-m400.06 1 4 400 161 161
si4-b09m-m400.00 1 4 400 161 161
si4-b09m-m400.08 1 4 400 161 161
si4-b09m-m400.04 1 4 400 161 161
si4-b09m-m400.09 1 4 400 161 161
si4-b09m-m400.02 1 4 400 161 161
si4-b09m-m400.03 1 4 400 161 161
si4-b09m-m400.01 1 4 400 161 161
si4-b09m-m400.05 1 4 400 161 161
si6-m4Dr4-m1296.03 1 6 1296 778 778
si6-m4Dr4-m1296.06 1 6 1296 778 778
si6-m4Dr4-m1296.04 1 6 1296 778 778
si6-m4Dr4-m1296.01 1 6 1296 778 778
si6-m4Dr4-m1296.09 1 6 1296 778 778
si6-m4Dr4-m1296.02 1 6 1296 778 778
si6-m4Dr4-m1296.08 1 6 1296 778 778
si6-m4Dr4-m1296.05 1 6 1296 778 778
si6-m4Dr4-m1296.07 1 6 1296 778 778
si6-m4Dr4-m1296.00 1 6 1296 778 778
si6-b06-m200.09 1 3 200 121 121
si6-b06-m200.03 1 3 200 121 121
si6-b06-m200.05 1 3 200 121 121
si6-b06-m200.00 1 3 200 121 121
si6-b06-m200.08 1 3 200 121 121
si6-b06-m200.02 1 3 200 121 121
si6-b06-m200.06 1 3 200 121 121
si6-b06-m200.04 1 3 200 121 121
si6-b06-m200.01 1 3 200 121 121
si6-b06-m200.07 1 3 200 121 121
si4-m4Dr6-m625.02 1 6 625 251 251
si4-m4Dr6-m625.06 1 6 625 251 251
si4-m4Dr6-m625.03 1 6 625 251 251
si4-m4Dr6-m625.07 1 6 625 253 251
si4-m4Dr6-m625.08 1 6 625 251 251
si4-m4Dr6-m625.09 1 6 625 251 251
si4-m4Dr6-m625.00 1 6 625 251 251
si4-m4Dr6-m625.01 1 6 625 251 251
si4-m4Dr6-m625.05 1 6 625 251 251
si4-m4Dr6-m625.04 1 6 625 251 251
si6-b06m-m200.09 1 4 200 121 121
si6-b06m-m200.02 1 4 200 121 121
si6-b06m-m200.05 1 4 200 121 121
si6-b06m-m200.00 1 4 200 121 121
si6-b06m-m200.07 1 4 200 121 121
si6-b06m-m200.04 1 4 200 121 121
si6-b06m-m200.08 1 4 200 121 121
si6-b06m-m200.06 1 4 200 121 121
si6-b06m-m200.03 1 4 200 121 121
si6-b06m-m200.01 1 4 200 121 121
si6-m4Dr4-m256.05 1 6 256 154 154
si6-m4Dr4-m256.03 1 6 256 154 154
si6-m4Dr4-m256.02 1 6 256 154 154
si6-m4Dr4-m256.01 1 6 256 154 154
si6-m4Dr4-m256.08 1 6 256 154 154
si6-m4Dr4-m256.09 1 6 256 154 154
si6-m4Dr4-m256.07 1 6 256 154 154
si6-m4Dr4-m256.06 1 6 256 154 154
si6-m4Dr4-m256.04 1 6 256 154 154
si6-m4Dr4-m256.00 1 6 256 154 154
si4-r001-m600.01 1 7 600 314 309
si4-r001-m600.08 1 7 600 841 822
si4-r001-m600.02 1 7 600 628 613
si4-r001-m600.07 1 7 600 248 248
si4-r001-m600.05 1 7 600 285 285
si4-r001-m600.06 1 7 600 554 548
si4-r001-m600.00 1 7 600 271 266
si4-r001-m600.04 1 7 600 257 255
si4-r001-m600.09 1 7 600 264 259
si4-r001-m600.03 1 7 600 461 458
si2-b09m-m200.08 1 4 200 41 41
si2-b09m-m200.06 1 4 200 41 41
si2-b09m-m200.03 1 4 200 41 41
si2-b09m-m200.09 1 4 200 42 42
si2-b09m-m200.04 1 4 200 41 41
si2-b09m-m200.00 1 4 200 41 41
si2-b09m-m200.01 1 4 200 41 41
si2-b09m-m200.05 1 4 200 41 41
si2-b09m-m200.07 1 4 200 41 41
si2-b09m-m200.02 1 4 200 41 41
si6-b03-m200.01 1 3 200 121 121
si6-b03-m200.03 1 3 200 121 121
si6-b03-m200.04 1 3 200 121 121
si6-b03-m200.08 1 3 200 121 121
si6-b03-m200.07 1 3 200 121 121
si6-b03-m200.09 1 3 200 121 121
