instance sat family density lad vbdpd vbbjdpd vf2 snd
si6-r005-m400.09 1 7 240 8066.773000 2186 2113 100000000 8297.000
si6-r005-m400.03 1 7 240 550706.279000 2845 2866 100000000 39876.000
si6-r005-m400.06 1 7 240 6288.044000 2405 2280 100000000 7898.000
si6-r005-m400.08 1 7 240 119685.804000 2966 2981 100000000 51823.000
si6-m4Dr6-m625.04 1 6 375 85.986000 228 308 2 4870.00
si6-m4Dr6-m625.01 1 6 375 130.980000 457 528 2 5340.00
si6-m4Dr6-m625.09 1 6 375 94.985000 436 572 2 4997.000
si6-m4Dr6-m625.07 1 6 375 80.987000 401 395 4 4824.000
si6-m4Dr6-m625.00 1 6 375 82.987000 210 209 2 5387.000
si6-m4Dr6-m625.08 1 6 375 375.942000 243 241 2 4512.000
si6-m4Dr6-m625.05 1 6 375 80.987000 407 403 2 4955.000
si6-m4Dr6-m625.06 1 6 375 74.988000 208 208 4 4878.000
si6-m4Dr6-m625.02 1 6 375 84.987000 249 243 2 4898.000
si6-m4Dr6-m625.03 1 6 375 78.987000 345 341 3 5506.000
si4-m4Dr2-m625.09 1 6 250 190.970000 236 234 1 2960.00
si4-m4Dr2-m625.04 1 6 250 394.939000 136 182 2 2576.000
si4-m4Dr2-m625.02 1 6 250 43.993000 190 249 1 2300.0
si4-m4Dr2-m625.07 1 6 250 44.993000 180 179 1 2506.000
si4-m4Dr2-m625.00 1 6 250 117.982000 227 198 1 2635.000
si4-m4Dr2-m625.08 1 6 250 145.977000 227 218 1 2856.000
si4-m4Dr2-m625.01 1 6 250 135.979000 240 217 2 2719.000
si4-m4Dr2-m625.06 1 6 250 52.991000 311 304 1 2777.000
si4-m4Dr2-m625.03 1 6 250 391.940000 242 240 1 2657.000
si4-m4Dr2-m625.05 1 6 250 154.976000 260 245 1 2616.000
si2-r001-m600.00 1 7 120 9501.555000 178 179 100000000 11731.000
si2-r001-m600.06 1 7 120 20565.873000 583 583 100000000 13234.000
si2-r001-m600.04 1 7 120 3395.483000 263 327 100000000 4359.000
si2-r001-m600.07 1 7 120 115212.485000 1290 914 100000000 11778.000
si2-r001-m600.02 1 7 120 291724.651000 192 189 100000000 24611.000
si2-r001-m600.08 1 7 120 35231.643000 384 385 100000000 432073.000
si2-r001-m600.03 1 7 120 45619301.811000 217 225 100000000 46320.00
si2-r001-m600.01 1 7 120 38436.156000 210 175 100000000 11945.000
si2-r001-m600.05 1 7 120 35371.622000 272 178 100000000 17740.00
si2-r001-m600.09 1 7 120 147831.526000 448 415 100000000 56235.000
si2-m4Dr2-m256.09 1 6 51 38.994000 15 17 0 784.000
si2-m4Dr2-m256.03 1 6 51 42.993000 15 18 0 1681.000
si2-m4Dr2-m256.04 1 6 51 84.987000 29 30 0 718.000
si2-m4Dr2-m256.07 1 6 51 8.998000 17 11 0 796.000
si2-m4Dr2-m256.00 1 6 51 42.993000 14 14 0 825.000
si2-m4Dr2-m256.06 1 6 51 83.987000 19 17 0 999.000
si2-m4Dr2-m256.08 1 6 51 6.998000 25 21 0 655.000
si2-m4Dr2-m256.05 1 6 51 19.996000 31 31 0 762.000
si2-m4Dr2-m256.01 1 6 51 34.994000 20 13 0 659.000
si2-m4Dr2-m256.02 1 6 51 20.996000 11 11 0 671.000
si6-r001-m600.09 1 7 360 2539.613000 1090 1087 100000000 5933.000
si6-r001-m600.00 1 7 360 28248.705000 1143 1118 100000000 6189.000
si6-r001-m600.07 1 7 360 10217.446000 1152 1216 100000000 6132.000
si6-r001-m600.03 1 7 360 31602.195000 1161 1219 100000000 5703.000
si6-r001-m600.01 1 7 360 3477.471000 1211 1215 100000000 6537.000
si6-r001-m600.06 1 7 360 2484.622000 1120 1111 100000000 6371.000
si6-r001-m600.08 1 7 360 6583.999000 1281 1171 100000000 9716.000
si6-r001-m600.02 1 7 360 30458.369000 1164 1169 100000000 5655.000
si6-r001-m600.04 1 7 360 4266.351000 1109 1105 100000000 6154.000
si6-r001-m600.05 1 7 360 2947.551000 1299 1165 100000000 5779.000
si2-m4Dr2-m1296.05 1 6 259 748.886000 453 586 1 5120.00
si2-m4Dr2-m1296.09 1 6 259 740.887000 265 268 3 5682.000
si2-m4Dr2-m1296.02 1 6 259 2258.656000 504 507 2 6495.000
si2-m4Dr2-m1296.07 1 6 259 563.914000 490 460 1 5017.000
si2-m4Dr2-m1296.00 1 6 259 102.984000 608 608 1 4748.000
si2-m4Dr2-m1296.06 1 6 259 2883.561000 280 272 2 5667.000
si2-m4Dr2-m1296.08 1 6 259 1170.822000 273 276 1 5462.000
si2-m4Dr2-m1296.01 1 6 259 2317.647000 592 590 1 16073.000
si2-m4Dr2-m1296.03 1 6 259 1228.813000 398 254 1 5052.000
si2-m4Dr2-m1296.04 1 6 259 148.977000 474 388 3 4868.000
si4-b06m-m800.08 1 4 320 79.987000 460 478 2 4082.000
si4-b06m-m800.00 1 4 320 136.979000 469 372 2 4404.000
si4-b06m-m800.06 1 4 320 85.986000 424 500 2 3986.000
si4-b06m-m800.05 1 4 320 80.987000 558 555 2 5056.000
si4-b06m-m800.04 1 4 320 117.982000 279 275 2 4393.000
si4-b06m-m800.09 1 4 320 97.985000 273 275 2 4002.000
si4-b06m-m800.01 1 4 320 89.986000 508 449 2 3979.000
si4-b06m-m800.07 1 4 320 81.987000 389 373 2 4128.000
si4-b06m-m800.03 1 4 320 88.986000 499 498 2 5288.000
si4-b06m-m800.02 1 4 320 84.987000 302 329 2 4509.000
si6-m4Dr2-m625.08 1 6 375 296.954000 195 193 2 5009.000
si6-m4Dr2-m625.09 1 6 375 324.950000 193 193 2 4801.000
si6-m4Dr2-m625.05 1 6 375 533.918000 205 197 3 4847.000
si6-m4Dr2-m625.01 1 6 375 61.990000 337 336 2 5026.000
si6-m4Dr2-m625.06 1 6 375 74.988000 420 351 2 5359.000
si6-m4Dr2-m625.00 1 6 375 69.989000 280 317 3 5223.000
si6-m4Dr2-m625.03 1 6 375 67.989000 321 291 3 5977.000
si6-m4Dr2-m625.02 1 6 375 470.928000 197 195 3 4721.000
si6-m4Dr2-m625.07 1 6 375 70.989000 305 350 2 4911.000
si6-m4Dr2-m625.04 1 6 375 378.942000 371 379 2 4552.000
si2-m4D-m1296.01 1 5 259 4052.383000 427 403 0 39393.000
si2-m4D-m1296.08 1 5 259 668.898000 762 908 1 6021.000
si2-m4D-m1296.06 1 5 259 3214.511000 654 621 0 491764.000
si2-m4D-m1296.05 1 5 259 777.881000 415 417 1 6611.000
si2-m4D-m1296.09 1 5 259 1515.769000 637 642 1 6811.000
si2-m4D-m1296.03 1 5 259 2704.588000 481 430 0 13359.000
si2-m4D-m1296.07 1 5 259 906.862000 423 447 1 6755.000
si2-m4D-m1296.02 1 5 259 1261.808000 943 936 1 8299.000
si2-m4D-m1296.04 1 5 259 1179.820000 731 703 1 6912.000
si2-m4D-m1296.00 1 5 259 573.912000 551 550 1 6367.000
si4-b03-m800.05 1 3 320 1706.740000 154 166 0 3940.00
si4-b03-m800.00 1 3 320 1773.730000 147 168 0 3653.000
si4-b03-m800.08 1 3 320 1746.734000 150 167 0 3804.000
si4-b03-m800.09 1 3 320 1804.725000 149 201 0 4182.000
si4-b03-m800.03 1 3 320 2289.651000 149 154 0 3510.00
si4-b03-m800.02 1 3 320 1874.715000 147 150 0 4143.000
si4-b03-m800.04 1 3 320 1726.737000 167 155 0 4186.000
si4-b03-m800.01 1 3 320 2043.689000 167 207 0 3904.000
si4-b03-m800.06 1 3 320 2342.643000 153 224 0 3768.000
si4-b03-m800.07 1 3 320 1774.730000 147 150 0 3558.000
si6-m4D-m1296.02 1 5 777 2930.554000 654 799 12 82757.000
si6-m4D-m1296.07 1 5 777 10964.333000 822 853 100000000 186673.000
si6-m4D-m1296.05 1 5 777 2897.559000 633 609 8 87031.000
si6-m4D-m1296.09 1 5 777 9519.552000 923 867 100000000 226735.000
si6-m4D-m1296.00 1 5 777 281012.279000 772038 803598 100000000 226934.000
si6-m4D-m1296.08 1 5 777 3157.519000 619 746 12 85758.000
si6-m4D-m1296.04 1 5 777 2848.566000 585 587 3 87387.000
si6-m4D-m1296.06 1 5 777 11498.252000 1903 1847 100000000 213081.000
si6-m4D-m1296.01 1 5 777 10626.384000 1219 1321 100000000 228441.000
si6-m4D-m1296.03 1 5 777 17675.312000 7458 6841 100000000 324863.000
si6-r001-m200.05 1 7 120 42.993000 23 23 52017982 948.000
si6-r001-m200.09 1 7 120 39.993000 15 16 5417538 856.000
si6-r001-m200.07 1 7 120 4.999000 13 14 100000000 1003.000
si6-r001-m200.02 1 7 120 28.995000 23 16 841834 1093.000
si6-r001-m200.01 1 7 120 17.997000 14 14 31480496 912.000
si6-r001-m200.00 1 7 120 11.998000 22 14 100000000 1037.000
si6-r001-m200.04 1 7 120 22.996000 24 23 15796040 987.000
si6-r001-m200.06 1 7 120 10.998000 14 14 100000000 938.000
si6-r001-m200.08 1 7 120 6.998000 27 26 72211413 821.000
si6-r001-m200.03 1 7 120 31.995000 15 16 100000000 896.000
si4-b06-m400.06 1 3 160 474.927000 107 170 0 1255.000
si4-b06-m400.07 1 3 160 532.918000 107 109 0 1399.000
si4-b06-m400.09 1 3 160 479.927000 107 108 0 1404.000
si4-b06-m400.01 1 3 160 503.923000 111 146 0 1306.000
si4-b06-m400.04 1 3 160 478.927000 120 113 0 1754.000
