instance sat family density lad vbdpd vbbjdpd vf2 snd
si4-b06m-m400.02 1 4 160 20.996000 83 111 0 1378.000
si2-m4Dr2-m625.05 1 6 125 75.988000 347 217 0 1366.000
si2-m4Dr2-m625.00 1 6 125 224.965000 131 136 0 2916.000
si2-m4Dr2-m625.08 1 6 125 21.996000 162 103 0 1328.000
si2-m4Dr2-m625.09 1 6 125 101.984000 110 109 0 1337.000
si2-m4Dr2-m625.06 1 6 125 231.964000 158 117 0 1588.000
si2-m4Dr2-m625.04 1 6 125 475.927000 69 68 0 1367.000
si2-m4Dr2-m625.01 1 6 125 114.982000 170 191 0 1629.000
si2-m4Dr2-m625.03 1 6 125 241.963000 65 68 0 1499.000
si2-m4Dr2-m625.02 1 6 125 171.973000 117 162 0 2062.000
si2-m4Dr2-m625.07 1 6 125 121.981000 58 57 0 1802.000
si2-r005-m200.02 1 7 40 6013.085000 42 43 100000000 1455.000
si2-r005-m200.01 1 7 40 216589.073000 246 322 100000000 3715.000
si2-r005-m200.03 1 7 40 4472.320000 75 69 100000000 6440.00
si2-r005-m200.05 1 7 40 14597.780000 12009 12778 100000000 264129.000
si2-r005-m200.08 1 7 40 48967.555000 1572 1572 100000000 572601.000
si2-r005-m200.04 1 7 40 11467.256000 6366 6543 100000000 27950.00
si2-r005-m200.09 1 7 40 195.970000 73 106 100000000 1257.000
si2-r005-m200.06 1 7 40 110.983000 148 168 100000000 1345.000
si2-r005-m200.00 1 7 40 34375.774000 764 734 100000000 198887.000
si2-r005-m200.07 1 7 40 6054.079000 70 70 100000000 2202.000
si4-b03m-m400.03 1 4 160 11.998000 26 26 0 1337.000
si4-b03m-m400.09 1 4 160 17.997000 29 42 0 1152.000
si4-b03m-m400.08 1 4 160 15.997000 45 43 0 1456.000
si4-b03m-m400.04 1 4 160 13.997000 28 28 0 1182.000
si4-b03m-m400.00 1 4 160 19.996000 43 45 0 1185.000
si4-b03m-m400.01 1 4 160 19.996000 43 42 0 1165.000
si4-b03m-m400.07 1 4 160 9.998000 33 48 0 1188.000
si4-b03m-m400.02 1 4 160 19.996000 39 41 0 1234.000
si4-b03m-m400.06 1 4 160 11.998000 39 39 0 1056.000
si4-b03m-m400.05 1 4 160 17.997000 28 44 0 1109.000
si2-r01-m600.01 1 7 120 100000000 325502 331982 100000000 100000000
si2-r01-m600.06 1 7 120 100000000 197811 202663 100000000 100000000
si2-r01-m600.09 1 7 120 100000000 721653 737980 100000000 100000000
si2-r01-m600.08 1 7 120 100000000 1216367 1245494 100000000 100000000
si2-r01-m600.04 1 7 120 100000000 1425768 1455349 100000000 100000000
si2-r01-m600.02 1 7 120 100000000 4092723 4182917 100000000 100000000
si2-r01-m600.00 1 7 120 100000000 25507478 26074160 100000000 99925740.00
si2-r01-m600.07 1 7 120 100000000 419319 428607 100000000 100000000
si2-r01-m600.03 1 7 120 100000000 2603529 2664784 100000000 100000000
si2-r01-m600.05 1 7 120 100000000 238297 243769 100000000 35266048.000
si4-m4Dr6-m256.01 1 6 102 19.996000 23 24 0 1156.000
si4-m4Dr6-m256.00 1 6 102 96.985000 53 54 0 1160.00
si4-m4Dr6-m256.05 1 6 102 149.977000 35 30 0 951.000
si4-m4Dr6-m256.08 1 6 102 78.987000 38 27 0 893.000
si4-m4Dr6-m256.03 1 6 102 11.998000 48 65 0 1019.000
si4-m4Dr6-m256.06 1 6 102 83.987000 56 57 0 854.000
si4-m4Dr6-m256.09 1 6 102 63.990000 27 28 0 899.000
si4-m4Dr6-m256.07 1 6 102 388.940000 41 47 0 868.000
si4-m4Dr6-m256.02 1 6 102 23.996000 74 62 0 1188.000
si4-m4Dr6-m256.04 1 6 102 144.977000 45 45 0 1012.000
si2-b03m-m400.02 1 4 80 9.998000 21 35 0 796.000
si2-b03m-m400.00 1 4 80 8.998000 33 37 0 1084.000
si2-b03m-m400.01 1 4 80 5.999000 24 28 0 808.000
si2-b03m-m400.05 1 4 80 6.998000 36 36 0 862.000
si2-b03m-m400.08 1 4 80 7.998000 29 29 0 782.000
si2-b03m-m400.07 1 4 80 13.997000 20 20 0 1038.000
si2-b03m-m400.09 1 4 80 10.998000 28 28 0 899.000
si2-b03m-m400.03 1 4 80 5.999000 25 25 0 788.000
si2-b03m-m400.04 1 4 80 10.998000 30 43 0 905.000
si2-b03m-m400.06 1 4 80 8.998000 23 24 0 894.000
si2-b03m-m200.05 1 4 40 1.999000 19 12 0 520.00
si2-b03m-m200.03 1 4 40 2.999000 9 6 0 600.0
si2-b03m-m200.00 1 4 40 3.999000 8 8 0 641.000
si2-b03m-m200.08 1 4 40 2.999000 9 10 0 483.000
si2-b03m-m200.06 1 4 40 1.999000 6 10 0 694.000
si2-b03m-m200.02 1 4 40 3.999000 10 6 0 666.000
si2-b03m-m200.09 1 4 40 2.999000 9 9 0 673.000
si2-b03m-m200.04 1 4 40 2.999000 11 12 0 506.000
si2-b03m-m200.01 1 4 40 2.999000 12 10 0 601.000
si2-b03m-m200.07 1 4 40 1.999000 4 4 0 478.000
si4-r001-m200.04 1 7 80 35.994000 9 9 100000000 712.000
si4-r001-m200.07 1 7 80 38.994000 17 18 100000000 880.00
si4-r001-m200.00 1 7 80 20.996000 10 10 100000000 961.000
si4-r001-m200.01 1 7 80 30.995000 10 10 278962 800.0
si4-r001-m200.03 1 7 80 30.995000 9 11 100000000 730.00
si4-r001-m200.06 1 7 80 28.995000 22 19 100000000 688.000
si4-r001-m200.05 1 7 80 39.993000 13 12 100000000 766.000
si4-r001-m200.08 1 7 80 36.994000 10 10 100000000 888.000
si4-r001-m200.09 1 7 80 155.976000 12 12 100000000 955.000
si4-r001-m200.02 1 7 80 30.995000 17 17 100000000 684.000
si2-m4D-m256.08 1 5 51 25.996000 27 29 0 957.000
si2-m4D-m256.03 1 5 51 61.990000 17 25 0 803.000
si2-m4D-m256.02 1 5 51 20.996000 23 22 0 865.000
si2-m4D-m256.06 1 5 51 34.994000 20 17 0 799.000
si2-m4D-m256.04 1 5 51 9.998000 15 19 0 928.000
si2-m4D-m256.07 1 5 51 29.995000 29 21 0 706.000
si2-m4D-m256.01 1 5 51 33.994000 24 25 0 848.000
si2-m4D-m256.09 1 5 51 36.994000 36 23 0 706.000
si2-m4D-m256.00 1 5 51 19.996000 42 43 0 660.00
si2-m4D-m256.05 1 5 51 34.994000 16 18 0 706.000
si6-r01-m400.04 1 7 240 686100.696000 20858 21282 100000000 4158059.000
si6-r01-m400.08 1 7 240 79271.948000 6262 6328 100000000 361811.000
si6-r01-m400.07 1 7 240 1148807.354000 13664 13761 100000000 622219.000
si6-r01-m400.06 1 7 240 755671.120000 12709 12920 100000000 546353.000
si6-r01-m400.05 1 7 240 4248429.140000 52087 52833 100000000 3580996.000
si6-r01-m400.02 1 7 240 8845164.330000 15352 15532 100000000 959319.000
si6-r01-m400.00 1 7 240 487403.903000 15013 15174 100000000 888816.000
si6-r01-m400.03 1 7 240 1695386.262000 8822 8910 100000000 2937341.000
si6-r01-m400.01 1 7 240 3643813.056000 13740 13849 100000000 2071414.000
si6-r01-m400.09 1 7 240 10809847.653000 28145 28562 100000000 2235567.000
si2-m4Dr4-m625.07 1 6 125 489.925000 147 145 0 1361.000
si2-m4Dr4-m625.02 1 6 125 36.994000 66 65 1 1412.000
si2-m4Dr4-m625.03 1 6 125 27.995000 228 204 0 1537.000
si2-m4Dr4-m625.00 1 6 125 45.993000 111 110 0 1546.000
si2-m4Dr4-m625.05 1 6 125 24.996000 121 120 0 1365.000
si2-m4Dr4-m625.06 1 6 125 466.929000 135 132 0 1602.000
si2-m4Dr4-m625.09 1 6 125 683.896000 84 80 0 7006.000
si2-m4Dr4-m625.01 1 6 125 384.941000 77 76 0 1390.00
si2-m4Dr4-m625.08 1 6 125 737.887000 79 78 0 1546.000
si2-m4Dr4-m625.04 1 6 125 2242.659000 93 82 0 1813.000
si4-r01-m400.01 1 7 160 38564845.252000 3027 3035 100000000 59287585.000
si4-r01-m400.08 1 7 160 32857113.959000 61575 62465 100000000 48860781.000
si4-r01-m400.02 1 7 160 8638625.729000 219520 223332 100000000 50054021.000
si4-r01-m400.03 1 7 160 100000000 25869 26376 100000000 16362866.000
si4-r01-m400.07 1 7 160 20878261.021000 52205 52715 100000000 30225271.000
si4-r01-m400.06 1 7 160 15709266.828000 5872 5925 100000000 43302453.000
si4-r01-m400.04 1 7 160 100000000 198012 201284 100000000 58593454.000
si4-r01-m400.00 1 7 160 100000000 344259 349335 100000000 568355.000
si4-r01-m400.05 1 7 160 53265973.341000 13297 13512 100000000 52942516.000
si4-r01-m400.09 1 7 160 8961636.624000 42067 42822 100000000 41820604.000
si2-b09m-m400.09 1 4 80 15.997000 77 78 0 1119.000
si2-b09m-m400.03 1 4 80 234.964000 66 66 0 1003.000
si2-b09m-m400.01 1 4 80 29.995000 52 52 0 972.000
si2-b09m-m400.08 1 4 80 38.994000 55 55 0 942.000
si2-b09m-m400.05 1 4 80 134.979000 65 66 0 1381.000
si2-b09m-m400.06 1 4 80 27.995000 51 50 0 1168.000
si2-b09m-m400.00 1 4 80 18.997000 57 59 0 1006.000
si2-b09m-m400.02 1 4 80 14.997000 47 53 0 953.000
si2-b09m-m400.04 1 4 80 18.997000 51 51 0 923.000
si2-b09m-m400.07 1 4 80 27.995000 53 53 0 1204.000
si2-b09-m800.07 1 3 160 2488.621000 404 403 0 2492.000
si2-b09-m800.04 1 3 160 2645.597000 404 404 0 2227.000
si2-b09-m800.05 1 3 160 2525.616000 407 403 0 2048.000
si2-b09-m800.00 1 3 160 2617.602000 405 404 0 2154.000
si2-b09-m800.02 1 3 160 2878.562000 404 403 0 2449.000
si2-b09-m800.01 1 3 160 2618.601000 411 476 0 2205.000
si2-b09-m800.08 1 3 160 2477.623000 405 404 0 2035.000
si2-b09-m800.09 1 3 160 2555.611000 416 405 0 2190.00
si2-b09-m800.03 1 3 160 2910.557000 403 405 0 3148.000
si2-b09-m800.06 1 3 160 2568.609000 404 403 0 2102.000
si6-b03-m400.04 1 3 240 373.943000 53 54 0 1837.000
si6-b03-m400.09 1 3 240 499.924000 56 60 0 1660.00
si6-b03-m400.02 1 3 240 363.944000 56 54 0 1721.000
si6-b03-m400.06 1 3 240 381.941000 62 63 0 1574.000
si6-b03-m400.05 1 3 240 686.895000 54 54 0 1762.000
si6-b03-m400.08 1 3 240 363.944000 56 57 0 2332.000
si6-b03-m400.01 1 3 240 707.892000 54 56 0 1695.000
si6-b03-m400.07 1 3 240 360.945000 54 54 0 1705.000
si6-b03-m400.03 1 3 240 379.942000 55 54 0 2391.000
si6-b03-m400.00 1 3 240 455.930000 83 60 0 1831.000
si2-r005-m600.03 1 7 120 100000000 25307 25061 100000000 5348069.000
si2-r005-m600.00 1 7 120 100000000 478069 472606 100000000 37994733.000
si2-r005-m600.06 1 7 120 100000000 31431 31592 100000000 14077074.000
si2-r005-m600.01 1 7 120 100000000 122752 119855 100000000 5183664.000
si2-r005-m600.04 1 7 120 100000000 308483 299135 100000000 3443641.000
si2-r005-m600.09 1 7 120 4494516.729000 33291 34019 100000000 2711602.000
si2-r005-m600.05 1 7 120 100000000 1464829 1452407 100000000 23414418.000
si2-r005-m600.02 1 7 120 100000000 340345 337038 100000000 12501586.000
si2-r005-m600.08 1 7 120 100000000 73904 73800 100000000 468468.000
si2-r005-m600.07 1 7 120 100000000 10598 10790 100000000 7930375.000
si4-r01-m600.05 1 7 240 100000000 61172 62298 100000000 100000000
si4-r01-m600.02 1 7 240 54735630.919000 63081 64315 100000000 100000000
si4-r01-m600.03 1 7 240 100000000 234643 239710 100000000 100000000
si4-r01-m600.07 1 7 240 100000000 472866 481802 100000000 43530508.000
si4-r01-m600.08 1 7 240 100000000 380952 387197 100000000 100000000
si4-r01-m600.06 1 7 240 100000000 162945 165848 100000000 51210222.000
si4-r01-m600.01 1 7 240 100000000 1050695 1076392 100000000 100000000
si4-r01-m600.04 1 7 240 89810232.769000 336849 343388 100000000 100000000
si4-r01-m600.00 1 7 240 100000000 735086 750431 100000000 100000000
si4-r01-m600.09 1 7 240 100000000 244504 247343 100000000 100000000
si2-b09-m400.04 1 3 80 334.949000 102 107 0 991.000
si2-b09-m400.08 1 3 80 349.946000 102 103 0 1123.000
si2-b09-m400.05 1 3 80 349.946000 103 102 0 1065.000
si2-b09-m400.01 1 3 80 346.947000 103 104 0 1354.000
si2-b09-m400.03 1 3 80 613.906000 102 103 0 1052.000
si2-b09-m400.02 1 3 80 637.903000 103 103 0 1238.000
si2-b09-m400.07 1 3 80 355.945000 103 121 0 972.000
si2-b09-m400.09 1 3 80 338.948000 102 102 0 948.000
si2-b09-m400.06 1 3 80 340.948000 103 104 0 1018.000
si2-b09-m400.00 1 3 80 668.898000 102 102 0 1026.000
si4-b06-m200.06 1 3 80 71.989000 43 29 0 709.000
si4-b06-m200.03 1 3 80 70.989000 28 30 0 737.000
si4-b06-m200.02 1 3 80 73.988000 27 27 0 727.000
si4-b06-m200.07 1 3 80 72.988000 42 27 0 830.00
si4-b06-m200.05 1 3 80 72.988000 30 29 0 720.00
si4-b06-m200.08 1 3 80 132.979000 27 27 0 786.000
si4-b06-m200.00 1 3 80 108.983000 27 27 0 798.000
si4-b06-m200.04 1 3 80 75.988000 27 28 0 773.000
si4-b06-m200.01 1 3 80 71.989000 32 28 0 781.000
si4-b06-m200.09 1 3 80 136.979000 31 28 0 897.000
si4-r005-m400.06 1 7 160 70620.264000 3489 3553 100000000 23820.00
si4-r005-m400.03 1 7 160 124423.084000 1606 1610 100000000 34025.000
si4-r005-m400.07 1 7 160 127690.588000 4056 4082 100000000 196729.000
si4-r005-m400.01 1 7 160 239957.520000 1462 1466 100000000 178240.00
si4-r005-m400.04 1 7 160 1277791.746000 1719 1731 100000000 80368.000
si4-r005-m400.00 1 7 160 2496118.532000 1762 1770 100000000 131451.000
si4-r005-m400.09 1 7 160 548989.540000 2122 1972 100000000 101069.000
si4-r005-m400.05 1 7 160 130111.220000 1501 1501 100000000 96058.000
si4-r005-m400.08 1 7 160 2451669.289000 1200 1202 100000000 192584.000
si4-r005-m400.02 1 7 160 714530.374000 4119 3904 100000000 237094.000
si4-m4Dr2-m1296.07 1 6 518 198.969000 2060 2067 5 13795.000
si4-m4Dr2-m1296.00 1 6 518 196.970000 826 827 5 13172.000
si4-m4Dr2-m1296.05 1 6 518 251.961000 873 899 5 12207.000
si4-m4Dr2-m1296.04 1 6 518 205.968000 450 448 5 13960.00
si4-m4Dr2-m1296.08 1 6 518 3300.498000 1054 1057 5 13553.000
si4-m4Dr2-m1296.01 1 6 518 332.949000 1137 1148 5 12453.000
si4-m4Dr2-m1296.06 1 6 518 206.968000 795 778 5 13984.000
si4-m4Dr2-m1296.02 1 6 518 221.966000 1083 721 5 13621.000
si4-m4Dr2-m1296.03 1 6 518 4049.384000 611 604 4 14482.000
si4-m4Dr2-m1296.09 1 6 518 494.924000 981 982 5 12797.000
si6-b09-m800.03 1 3 480 8576.696000 1197 1194 2 11483.000
si6-b09-m800.09 1 3 480 9516.553000 1196 1196 1 11314.000
si6-b09-m800.07 1 3 480 8192.754000 1195 1193 1 13662.000
si6-b09-m800.05 1 3 480 8550.700000 1201 1196 1 13157.000
si6-b09-m800.04 1 3 480 9434.565000 1202 1195 1 11488.000
si6-b09-m800.01 1 3 480 8667.682000 1221 1842 1 12301.000
si6-b09-m800.00 1 3 480 9448.563000 1196 1197 1 12593.000
si6-b09-m800.02 1 3 480 7571.848000 1196 1194 1 17800.0
si6-b09-m800.06 1 3 480 8630.687000 1196 1298 1 12853.000
si6-b09-m800.08 1 3 480 8145.761000 1200 1197 1 12009.000
si6-b06m-m400.00 1 4 240 32.994000 254 259 1 2282.000
si6-b06m-m400.08 1 4 240 28.995000 159 155 1 2386.000
si6-b06m-m400.03 1 4 240 55.991000 127 127 1 2540.00
si6-b06m-m400.04 1 4 240 32.994000 280 282 1 2043.000
si6-b06m-m400.06 1 4 240 33.994000 193 197 1 1922.000
si6-b06m-m400.07 1 4 240 49.992000 61 61 1 2201.000
si6-b06m-m400.09 1 4 240 52.991000 153 154 1 2210.00
si6-b06m-m400.02 1 4 240 51.992000 66 67 1 2422.000
si6-b06m-m400.01 1 4 240 36.994000 54 54 1 1908.000
si6-b06m-m400.05 1 4 240 53.991000 64 64 1 2211.000
si2-m4Dr4-m1296.08 1 6 259 1309.800000 300 304 2 5416.000
si2-m4Dr4-m1296.07 1 6 259 304.953000 444 308 4 5701.000
si2-m4Dr4-m1296.03 1 6 259 3610.451000 315 319 2 6403.000
si2-m4Dr4-m1296.05 1 6 259 109.983000 671 670 2 4912.000
si2-m4Dr4-m1296.06 1 6 259 176.973000 552 479 2 4865.000
si2-m4Dr4-m1296.04 1 6 259 179.972000 691 687 2 5171.000
si2-m4Dr4-m1296.09 1 6 259 1099.832000 271 272 2 6924.000
si2-m4Dr4-m1296.01 1 6 259 1184.819000 541 541 4 5051.000
si2-m4Dr4-m1296.00 1 6 259 515.921000 497 496 2 5148.000
si2-m4Dr4-m1296.02 1 6 259 2348.642000 283 289 2 7010.00
si6-m4Dr6-m1296.02 1 6 777 2302.649000 1133 1137 11 31624.000
si6-m4Dr6-m1296.08 1 6 777 372.943000 1075 1080 11 34341.000
si6-m4Dr6-m1296.07 1 6 777 482.926000 1076 1081 10 36723.000
si6-m4Dr6-m1296.06 1 6 777 376.942000 976 980 13 36280.00
si6-m4Dr6-m1296.03 1 6 777 669.898000 1141 1138 13 32229.000
si6-m4Dr6-m1296.04 1 6 777 764.883000 1135 1137 11 34923.000
si6-m4Dr6-m1296.05 1 6 777 1038.842000 2166 2170 11 38560.00
si6-m4Dr6-m1296.00 1 6 777 374.943000 1685 1076 11 35411.000
si6-m4Dr6-m1296.09 1 6 777 369.943000 994 969 10 39631.000
si6-m4Dr6-m1296.01 1 6 777 431.934000 1746 1751 11 35209.000
si4-m4Dr2-m256.00 1 6 102 30.995000 44 38 0 878.000
si4-m4Dr2-m256.01 1 6 102 10.998000 48 41 0 977.000
si4-m4Dr2-m256.05 1 6 102 15.997000 80 81 0 842.000
si4-m4Dr2-m256.04 1 6 102 26.995000 72 70 0 1146.000
si4-m4Dr2-m256.08 1 6 102 10.998000 67 57 0 936.000
si4-m4Dr2-m256.07 1 6 102 44.993000 29 29 0 820.00
si4-m4Dr2-m256.06 1 6 102 27.995000 55 52 0 872.000
si4-m4Dr2-m256.02 1 6 102 12.998000 32 33 0 949.000
si4-m4Dr2-m256.09 1 6 102 24.996000 115 117 0 907.000
si4-m4Dr2-m256.03 1 6 102 39.993000 33 39 0 801.000
si4-b09m-m200.01 1 4 80 8.998000 33 31 0 849.000
si4-b09m-m200.00 1 4 80 9.998000 33 33 0 1067.000
si4-b09m-m200.03 1 4 80 45.993000 66 67 0 807.000
si4-b09m-m200.06 1 4 80 80.987000 52 53 0 864.000
si4-b09m-m200.02 1 4 80 13.997000 56 54 0 737.000
si4-b09m-m200.04 1 4 80 18.997000 59 60 0 1160.00
si4-b09m-m200.05 1 4 80 12.998000 44 44 0 1182.000
si4-b09m-m200.07 1 4 80 15.997000 59 56 0 955.000
si4-b09m-m200.08 1 4 80 12.998000 25 26 0 759.000
si4-b09m-m200.09 1 4 80 10.998000 59 62 0 1017.000
si4-m4Dr4-m625.07 1 6 250 310.952000 142 140 2 2542.000
si4-m4Dr4-m625.05 1 6 250 50.992000 210 210 2 2738.000
si4-m4Dr4-m625.01 1 6 250 60.990000 212 219 2 2517.000
si4-m4Dr4-m625.08 1 6 250 421.935000 134 134 1 2355.000
si4-m4Dr4-m625.09 1 6 250 158.975000 232 229 1 2855.000
si4-m4Dr4-m625.00 1 6 250 1372.791000 148 146 1 2497.000
si4-m4Dr4-m625.04 1 6 250 82.987000 227 224 1 2488.000
si4-m4Dr4-m625.06 1 6 250 507.922000 136 149 1 2539.000
si4-m4Dr4-m625.03 1 6 250 170.974000 124 124 2 2316.000
si4-m4Dr4-m625.02 1 6 250 49.992000 291 291 1 2429.000
si4-m4Dr4-m1296.03 1 6 518 658.899000 975 954 6 14712.000
si4-m4Dr4-m1296.01 1 6 518 1896.711000 555 557 6 12843.000
si4-m4Dr4-m1296.00 1 6 518 225.965000 948 959 10 13363.000
si4-m4Dr4-m1296.07 1 6 518 376.942000 1047 1063 5 14626.000
si4-m4Dr4-m1296.02 1 6 518 225.965000 815 817 6 12517.000
si4-m4Dr4-m1296.04 1 6 518 396.939000 547 547 6 12587.000
si4-m4Dr4-m1296.09 1 6 518 375.942000 1032 1083 6 14219.000
si4-m4Dr4-m1296.06 1 6 518 5092.225000 598 605 6 12795.000
si4-m4Dr4-m1296.08 1 6 518 375.942000 1631 1638 6 13228.000
si4-m4Dr4-m1296.05 1 6 518 3130.524000 622 622 5 13754.000
si2-r005-m400.05 1 7 80 100000000 4459 4506 100000000 25025.000
si2-r005-m400.06 1 7 80 11827874.889000 2428 2423 100000000 978947.000
si2-r005-m400.08 1 7 80 140262.676000 2899 2883 100000000 111734.000
si2-r005-m400.02 1 7 80 713995.456000 391193 388342 100000000 5855275.000
si2-r005-m400.03 1 7 80 67483421.960000 6740 6386 100000000 787663.000
si2-r005-m400.00 1 7 80 7889372.633000 1675 1563 100000000 1923927.000
si2-r005-m400.07 1 7 80 89634207.529000 13960 14194 100000000 2469762.000
si2-r005-m400.09 1 7 80 50220808.276000 634 633 100000000 27868.000
si2-r005-m400.04 1 7 80 1105825.888000 8457 8604 100000000 385313.000
si2-r005-m400.01 1 7 80 8443404.407000 790 818 100000000 129591.000
si2-b06m-m400.03 1 4 80 9.998000 66 64 0 906.000
si2-b06m-m400.06 1 4 80 14.997000 63 63 0 824.000
si2-b06m-m400.05 1 4 80 33.994000 59 58 0 886.000
si2-b06m-m400.01 1 4 80 11.998000 47 46 0 1022.000
si2-b06m-m400.00 1 4 80 12.998000 67 81 0 827.000
si2-b06m-m400.08 1 4 80 14.997000 129 128 0 1001.000
si2-b06m-m400.07 1 4 80 13.997000 85 87 0 1344.000
si2-b06m-m400.09 1 4 80 18.997000 58 58 0 1151.000
si2-b06m-m400.04 1 4 80 57.991000 55 55 0 825.000
si2-b06m-m400.02 1 4 80 11.998000 33 41 0 896.000
si6-r005-m600.02 1 7 360 563631.315000 10750 10798 100000000 129994.000
si6-r005-m600.08 1 7 360 1125412.911000 10705 11179 100000000 227838.000
si6-r005-m600.03 1 7 360 583854.240000 25635 26101 100000000 136181.000
si6-r005-m600.05 1 7 360 259392.566000 19388 20537 100000000 118218.000
si6-r005-m600.07 1 7 360 2130236.154000 18804 19645 100000000 283535.000
si6-r005-m600.04 1 7 360 2078879.962000 22235 22759 100000000 155659.000
si6-r005-m600.06 1 7 360 6291050.614000 37603 38033 100000000 78789.000
si6-r005-m600.01 1 7 360 94710.601000 10747 10659 100000000 31224.000
si6-r005-m600.09 1 7 360 149579.260000 25803 26072 100000000 54226.000
si6-r005-m600.00 1 7 360 430948.485000 10730 10748 100000000 90302.000
si6-r005-m200.02 1 7 120 4792.271000 228 224 100000000 1542.000
si6-r005-m200.08 1 7 120 6676.984000 209 214 100000000 1288.000
si6-r005-m200.09 1 7 120 1768.731000 201 207 100000000 1704.000
si6-r005-m200.05 1 7 120 1917.708000 217 222 100000000 2132.000
si6-r005-m200.03 1 7 120 3669.442000 205 207 100000000 1392.000
si6-r005-m200.00 1 7 120 11793.207000 204 237 100000000 1563.000
si6-r005-m200.04 1 7 120 857.869000 209 215 100000000 1442.000
si6-r005-m200.07 1 7 120 1864.716000 202 207 100000000 1961.000
si6-r005-m200.01 1 7 120 499.924000 311 202 100000000 1447.000
si6-r005-m200.06 1 7 120 376.942000 195 199 100000000 1330.00
si2-m4Dr6-m625.06 1 6 125 171.973000 98 68 1 1955.000
si2-m4Dr6-m625.08 1 6 125 220.966000 161 137 0 1307.000
si2-m4Dr6-m625.07 1 6 125 265.959000 80 79 1 1602.000
si2-m4Dr6-m625.03 1 6 125 198.969000 74 74 0 1589.000
si2-m4Dr6-m625.04 1 6 125 102.984000 71 71 1 1620.00
si2-m4Dr6-m625.05 1 6 125 296.954000 76 74 0 1206.000
si2-m4Dr6-m625.09 1 6 125 192.970000 168 154 0 1637.000
si2-m4Dr6-m625.01 1 6 125 148.977000 77 75 0 1208.000
si2-m4Dr6-m625.02 1 6 125 355.945000 81 80 1 1524.000
si2-m4Dr6-m625.00 1 6 125 25.996000 116 114 0 1471.000
si6-b03-m800.02 1 3 480 3215.511000 221 232 0 7494.000
si6-b03-m800.04 1 3 480 3036.538000 221 230 1 7572.000
si6-b03-m800.03 1 3 480 2655.596000 221 226 0 7371.000
si6-b03-m800.05 1 3 480 2636.599000 221 225 1 7445.000
si6-b03-m800.06 1 3 480 4771.274000 221 227 0 7875.000
si6-b03-m800.01 1 3 480 5240.203000 221 226 0 10339.000
si6-b03-m800.00 1 3 480 2821.571000 321 327 0 7940.00
si6-b03-m800.07 1 3 480 2631.599000 221 228 1 7998.000
si6-b03-m800.09 1 3 480 2636.599000 222 231 0 7971.000
si6-b03-m800.08 1 3 480 2648.597000 222 228 0 8002.000
si4-m4D-m1296.09 1 5 518 1729.737000 1063 1055 2 17343.000
si4-m4D-m1296.06 1 5 518 1792.727000 726 727 2 21616.000
si4-m4D-m1296.05 1 5 518 1993.696000 759 760 2 18223.000
si4-m4D-m1296.00 1 5 518 6980.938000 534 533 100000000 116410.00
si4-m4D-m1296.03 1 5 518 6611.994000 554 556 100000000 171714.000
si4-m4D-m1296.04 1 5 518 2422.631000 750 751 2 19833.000
si4-m4D-m1296.08 1 5 518 6585.998000 100000000 100000000 100000000 82410.00
si4-m4D-m1296.02 1 5 518 6637.990000 622 723 100000000 98574.000
si4-m4D-m1296.01 1 5 518 1420.784000 758 758 2 18778.000
si4-m4D-m1296.07 1 5 518 1355.793000 738 738 2 17916.000
si6-b03m-m400.03 1 4 240 31.995000 62 70 0 1557.000
si6-b03m-m400.01 1 4 240 18.997000 77 84 0 1525.000
si6-b03m-m400.09 1 4 240 30.995000 76 77 0 1663.000
si6-b03m-m400.08 1 4 240 24.996000 75 106 1 1804.000
si6-b03m-m400.07 1 4 240 22.996000 56 58 0 1528.000
si6-b03m-m400.02 1 4 240 26.995000 41 39 1 1785.000
si6-b03m-m400.05 1 4 240 16.997000 36 37 1 1675.000
si6-b03m-m400.00 1 4 240 21.996000 41 41 1 1540.00
si6-b03m-m400.06 1 4 240 27.995000 138 140 0 1558.000
si6-b03m-m400.04 1 4 240 20.996000 55 90 0 1565.000
si4-m4D-m256.07 1 5 102 50.992000 34 34 0 950.00
si4-m4D-m256.06 1 5 102 29.995000 35 35 0 886.000
si4-m4D-m256.05 1 5 102 45.993000 37 60 0 891.000
si4-m4D-m256.08 1 5 102 41.993000 38 39 0 870.00
si4-m4D-m256.04 1 5 102 84.987000 40 42 0 1281.000
si4-m4D-m256.09 1 5 102 79.987000 63 64 0 1290.00
si4-m4D-m256.02 1 5 102 41.993000 42 41 0 889.000
si4-m4D-m256.00 1 5 102 48.992000 40 41 0 1033.000
si4-m4D-m256.03 1 5 102 70.989000 41 39 0 883.000
si4-m4D-m256.01 1 5 102 46.992000 38 49 0 1194.000
si6-b06m-m800.07 1 4 480 120.981000 523 524 3 7933.000
si6-b06m-m800.04 1 4 480 202.969000 697 695 3 8613.000
si6-b06m-m800.01 1 4 480 148.977000 749 689 3 8759.000
si6-b06m-m800.00 1 4 480 122.981000 528 524 6 8871.000
si6-b06m-m800.05 1 4 480 216.967000 866 854 6 9326.000
si6-b06m-m800.08 1 4 480 165.974000 737 745 3 9058.000
si6-b06m-m800.09 1 4 480 123.981000 918 917 3 8683.000
si6-b06m-m800.02 1 4 480 125.980000 374 370 6 10605.000
si6-b06m-m800.03 1 4 480 213.967000 803 1070 3 8693.000
