instance sat family size vbbjdpd tvbbjdpd
si2-m4Dr2-m1296.09 1 6 1296 263 100000000
si2-m4Dr2-m1296.02 1 6 1296 274 100000000
si2-m4Dr2-m1296.07 1 6 1296 260 100000000
si2-m4Dr2-m1296.00 1 6 1296 260 100000000
si2-m4Dr2-m1296.06 1 6 1296 260 100000000
si2-m4Dr2-m1296.08 1 6 1296 260 100000000
si2-m4Dr2-m1296.01 1 6 1296 301 100000000
si2-m4Dr2-m1296.03 1 6 1296 260 100000000
si2-m4Dr2-m1296.04 1 6 1296 260 100000000
si4-b06m-m800.08 1 4 800 321 100000000
si4-b06m-m800.00 1 4 800 321 100000000
si4-b06m-m800.06 1 4 800 321 100000000
si4-b06m-m800.05 1 4 800 321 100000000
si4-b06m-m800.04 1 4 800 321 100000000
si4-b06m-m800.09 1 4 800 321 100000000
si4-b06m-m800.01 1 4 800 321 100000000
si4-b06m-m800.07 1 4 800 321 100000000
si4-b06m-m800.03 1 4 800 321 100000000
si4-b06m-m800.02 1 4 800 321 100000000
si6-m4Dr2-m625.08 1 6 625 376 100000000
si6-m4Dr2-m625.09 1 6 625 376 100000000
si6-m4Dr2-m625.05 1 6 625 376 100000000
si6-m4Dr2-m625.01 1 6 625 376 100000000
si6-m4Dr2-m625.06 1 6 625 376 100000000
si6-m4Dr2-m625.00 1 6 625 376 100000000
si6-m4Dr2-m625.03 1 6 625 376 100000000
si6-m4Dr2-m625.02 1 6 625 376 100000000
si6-m4Dr2-m625.07 1 6 625 376 100000000
si6-m4Dr2-m625.04 1 6 625 376 100000000
si2-m4D-m1296.01 1 5 1296 389 100000000
si2-m4D-m1296.08 1 5 1296 260 100000000
si2-m4D-m1296.06 1 5 1296 5348 100000000
si2-m4D-m1296.05 1 5 1296 260 100000000
si2-m4D-m1296.09 1 5 1296 288 100000000
si2-m4D-m1296.03 1 5 1296 231 100000000
si2-m4D-m1296.07 1 5 1296 260 100000000
si2-m4D-m1296.02 1 5 1296 260 100000000
si2-m4D-m1296.04 1 5 1296 260 100000000
